,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,9200.0,,,,,,51.7857,7.0,5.0,71.429,1.0,9.0,75.0,
8,2008,17.7686,6.9767,,,,244.883,,,,,,,,8.7719,8200.0,,,,,,51.7857,10.0,8.0,80.0,1.0,7.0,75.0,
9,2009,16.5289,,,,,,,,,,,,,19.2982,6600.0,,,,,,51.7857,10.0,8.0,80.0,1.0,9.0,75.0,
10,2010,16.5289,,,,,,,,,,,,,19.2982,6000.0,,,,,,51.7857,8.0,6.0,75.0,1.0,6.0,75.0,
11,2011,16.5289,,,,,,,,,,,,,19.2982,4300.0,,,,,,51.7857,8.0,6.0,75.0,1.0,6.0,75.0,
12,2012,16.5289,,,,,,,,,,,,,19.2982,4400.0,,,,,,51.7857,9.0,7.0,77.778,1.0,7.0,75.0,
13,2013,17.7686,2.3256,,,,122.018,,,,,,,,19.2982,4500.0,,,,,,51.7857,11.0,9.0,81.818,1.0,8.0,75.0,
14,2014,17.7686,2.3256,,,,194.518,,,,,,,,19.2982,6300.0,,,,,,51.7857,11.0,9.0,81.818,1.0,6.0,75.0,
15,2015,22.7273,9.3023,,,,207.354,,,,,205.488,,,24.5614,7200.0,,,,,0.8,51.7857,11.0,9.0,81.818,1.0,5.0,75.0,
16,2016,25.2066,13.9535,,,,230.842,,,,,279.897,,,24.5614,9000.0,,,,,1.5,51.7857,10.0,8.0,80.0,1.0,6.0,75.0,
17,2017,23.1405,10.0775,,,,,,,,,289.909,,,24.5614,8700.0,,,,,6.23,51.7857,11.0,9.0,81.818,1.0,6.0,75.0,
18,2018,25.6198,13.1783,,,,,,,,,,,,28.0702,9600.0,,,,,4.5,51.7857,11.0,9.0,81.818,1.0,5.0,75.0,
19,2019,24.3802,13.1783,,,,,,,,,,,,22.807,9800.0,,,,,,51.7857,12.0,10.0,83.333,1.0,8.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
