,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,25.6198,17.0543,,,,230.607,,,,,,,,19.2982,18400.0,,,,,,51.7857,8.0,7.0,87.5,3.0,5.0,75.0,
8,2008,25.6198,17.0543,,,,212.936,,,,,,,,19.2982,18225.0,,,,,,51.7857,8.0,7.0,87.5,3.0,5.0,75.0,
9,2009,21.9008,10.0775,,,,,,,,,,,,19.2982,16700.0,,,,,,51.7857,9.0,8.0,88.889,3.0,10.0,75.0,
10,2010,21.9008,10.0775,,,,,,,,,,,,19.2982,36700.0,,,,,,51.7857,15.0,13.0,86.667,3.0,5.0,75.0,
11,2011,23.9669,13.9535,,,,,,,,,,,,19.2982,44700.0,,,,,,51.7857,15.0,13.0,86.667,3.0,6.0,75.0,
12,2012,23.9669,13.9535,,,,,,,,,,,,19.2982,45327.0,,,,,,51.7857,13.0,11.0,84.615,1.0,5.0,75.0,
13,2013,26.4463,13.9535,,,,,,,,,,,,29.8246,50700.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
14,2014,27.2727,13.9535,,,,,,,,,,,,29.8246,50400.0,,,,,,55.3571,11.0,10.0,90.909,1.0,5.0,75.0,
15,2015,35.5372,24.031,,,,343.381,,,,,,,,35.0877,51250.0,,,,,,62.5,11.0,10.0,90.909,1.0,5.0,75.0,
16,2016,34.2975,24.031,,,,339.477,,,,,,,,29.8246,54023.0,,,,,,62.5,12.0,10.0,83.333,1.0,9.0,75.0,
17,2017,32.2314,22.4806,,,,409.489,,,1368.49,2.695,,,,24.5614,57765.0,,,,,,62.5,11.0,10.0,90.909,1.0,6.0,75.0,
18,2018,34.7107,27.1318,,,,470.734,,,1593.41,4.165,,,,24.5614,60767.0,,,,,,62.5,12.0,11.0,91.667,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,59438.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
