,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2014,18.4211,,,,,,,,,,,,,18.3333,11000.0,,,,,,55.3571,9.0,3.0,33.333,1.0,11.0,75.0,
15,2015,18.4211,,,,,,,,,,,,,18.3333,12000.0,,,,,,55.3571,9.0,8.0,88.889,1.0,14.0,75.0,
16,2016,18.4211,,,,,,,,,,,,,18.3333,15000.0,,,,,,55.3571,9.0,8.0,88.889,1.0,12.0,75.0,
17,2017,25.8772,5.3571,,,,,,,,,,,,36.6667,16000.0,63.0,,,,,55.3571,9.0,8.0,88.889,1.0,9.0,75.0,
18,2018,28.5088,10.7143,,,,,,,,,,,,36.6667,16500.0,62.0,,,,,55.3571,9.0,8.0,88.889,1.0,11.0,75.0,
19,2019,,,,,,,,,,,,,,,16500.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
