,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,16026.0,,,,,,51.7857,8.0,6.0,75.0,1.0,9.0,75.0,
8,2008,16.1157,,,,,,,,,,,,,17.5439,17594.0,,,,,,51.7857,7.0,5.0,71.429,1.0,6.0,75.0,
9,2009,22.314,9.3023,,,,,,,,,,,,22.807,18582.0,,,,,,51.7857,8.0,6.0,75.0,1.0,11.0,75.0,
10,2010,23.5537,9.3023,,,,,,,,,,,,28.0702,20036.0,,,,,33.648,51.7857,8.0,7.0,87.5,1.0,8.0,75.0,
11,2011,20.2479,9.3023,,,,,,,,,,,,14.0351,21241.0,33.0,,,,,51.7857,9.0,8.0,88.889,1.0,9.0,75.0,
12,2012,23.1405,12.4031,,,,65.087,,152.5,,,,,,19.2982,22010.0,35.0,,,,25.8,51.7857,9.0,8.0,88.889,1.0,12.0,75.0,
13,2013,21.0744,8.5271,,,,,,,,,,,,19.2982,25000.0,35.0,,,,27.5,51.7857,10.0,9.0,90.0,1.0,10.0,75.0,
14,2014,16.5289,,,,,,,,,,,,,14.0351,26000.0,,,,,,57.1429,9.0,8.0,88.889,1.0,9.0,75.0,0.0
15,2015,17.7686,,,,,,,,,,,,,19.2982,27000.0,,,,,1.1,57.1429,9.0,8.0,88.889,1.0,9.0,75.0,0.0
16,2016,19.0083,4.6512,,,,,,,,,,,,19.2982,33000.0,,,,,38.9,51.7857,8.0,7.0,87.5,1.0,9.0,75.0,
17,2017,16.1157,1.5504,,,,,,,,,,,,14.0351,33000.0,,,,,,51.7857,9.0,8.0,88.889,1.0,7.0,75.0,
18,2018,17.3554,1.5504,,,,,,,,,,,,19.2982,36000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,40000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
