,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,14.0496,,,,,,,,,,,,,8.7719,49600.0,,,,,,51.7857,11.0,9.0,81.818,3.0,13.0,75.0,
7,2007,14.0496,,,,,,,,,,,,,8.7719,50900.0,,,,,,51.7857,12.0,9.0,75.0,3.0,9.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,50000.0,,,,,,51.7857,12.0,10.0,83.333,3.0,12.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,47000.0,,,,,,51.7857,12.0,9.0,75.0,3.0,10.0,75.0,
10,2010,17.7686,6.9767,,,,,,559.0,,,,,,8.7719,46000.0,,,,,,51.7857,11.0,9.0,81.82,3.0,10.0,75.0,
11,2011,18.595,6.9767,,,,,,,,,,,,12.2807,46000.0,,,,,,51.7857,12.0,10.0,83.333,3.0,6.0,75.0,
12,2012,28.0992,13.1783,,,,,,,,,,,,38.5965,47800.0,21.0,20.0,,,,51.7857,11.0,8.0,72.727,1.0,9.0,97.0,
13,2013,28.9256,10.8527,,,,,,,,,,,,43.8596,48100.0,22.0,20.0,,,,55.3571,11.0,8.0,72.727,1.0,9.0,96.0,
14,2014,33.4711,17.0543,,,,,,0.001,,,,,,49.1228,50300.0,21.0,23.0,,,,55.3571,10.0,8.0,80.0,1.0,12.0,98.0,
15,2015,26.4463,13.1783,,,,,,0.001,,,,,,28.0702,51700.0,,,,,,55.3571,10.0,8.0,80.0,1.0,14.0,99.0,
16,2016,33.4711,17.0543,,,,,,0.001,,,,,,52.6316,51900.0,21.0,23.0,,,,51.7857,12.0,10.0,83.333,1.0,14.0,98.0,
17,2017,28.0992,16.2791,,,,,,,,,,,,31.5789,66500.0,,,,,,51.7857,14.0,12.0,85.714,1.0,8.0,96.0,
18,2018,33.0579,16.2791,,,,,,,,,,,,47.3684,67000.0,21.0,24.0,,,4.7,57.1429,14.0,13.0,92.857,1.0,9.0,97.0,
19,2019,33.0579,16.2791,,,,,,,,,,,,47.3684,69000.0,20.0,18.0,,,6.4,57.1429,12.0,11.0,91.667,1.0,7.0,99.5,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
