,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,20.1646,7.3171,,,,,,,,,,,,17.1875,189000.0,45.0,,,,,51.7857,17.0,15.0,88.235,1.0,9.0,75.0,
6,2006,22.2222,9.7561,,,,,,,,,,,,17.1875,310000.0,44.0,,,,,55.3571,20.0,18.0,90.0,1.0,11.0,75.0,
7,2007,24.2798,11.3821,,,,,,,,,,,4.125,17.1875,310070.0,44.0,,,,,60.7143,18.0,15.0,83.333,1.0,8.0,75.0,
8,2008,33.3333,18.6992,,,,,,,,,,,4.227,37.5,294600.0,44.0,,,,,60.7143,15.0,14.0,93.333,1.0,9.0,75.0,
9,2009,39.917699999999996,29.2683,,,,8915.78,,,,,,,,42.1875,282720.0,41.0,,,,,60.7143,15.0,14.0,93.333,1.0,8.0,75.0,
10,2010,42.3868,34.1463,,,,8903.43,,,12871.0,,,,,42.1875,265410.0,40.0,,,,,60.7143,13.0,12.0,92.308,1.0,8.0,75.0,
11,2011,43.6214,34.1463,,,,9078.27,,,12871.0,,,,,46.875,256000.0,39.0,,,,,60.7143,12.0,11.0,91.667,1.0,14.0,75.0,
12,2012,54.7325,51.2195,811.66,8700.08,0.483,8843.07,,18009.801,12424.3,,22.721,,,46.875,242000.0,38.0,,,,,71.4286,12.0,11.0,91.667,1.0,8.0,75.0,
13,2013,61.7284,60.9756,866.851,8930.8,0.479,9110.46,,18643.199,11780.7,12.7,67.87,1.0,,50.0,243360.0,36.0,,,,,76.7857,14.0,13.0,92.857,1.0,9.0,75.0,4.348
14,2014,61.3169,64.2276,933.677,9077.34,0.478,9264.15,,19009.6,11530.9,22.05,113.52,1.0,23.8,46.875,245175.0,35.0,,,,,71.4286,15.0,14.0,93.333,1.0,10.0,75.0,5.1
15,2015,56.7901,57.7236,861.514,8456.97,0.456,8668.68,,18560.699,11693.7,13.0,178.152,,,42.1875,281450.0,33.0,,,,,71.4286,14.0,13.0,92.857,1.0,8.0,75.0,5.317
16,2016,56.3786,59.3496,988.226,,,8877.89,,19627.801,10228.6,34.0,138.103,0.0,0.0,42.1875,268000.0,32.0,,,,,66.0714,13.0,12.0,92.308,1.0,11.0,75.0,
17,2017,62.1399,66.6667,903.43,7695.52,0.374,7999.78,,20583.0,9842.52,,201.361,1.0,9.5,50.0,252000.0,31.0,29.0,,,,66.0714,13.0,12.0,92.308,1.0,10.0,75.0,
18,2018,68.7243,70.7317,861.157,7491.73,0.401,7430.29,,18700.0,9657.03,0.162,191.837,5.0,0.012,62.5,264656.0,32.7,29.4,,,,71.4286,13.0,12.0,92.308,1.0,10.0,75.0,2.402
19,2019,,,,,,,,,,,,,,,246000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
