,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,20.6612,11.6279,,1349.03,0.427,,,3156.1,26586.6,,119.509,,,14.0351,9550.0,,,,,12.4,48.2143,14.0,9.0,64.286,1.0,8.0,75.0,
7,2007,22.7273,11.6279,,1269.28,0.423,,,2998.49,25634.5,,104.921,,,19.2982,9700.0,,,,,13.634,51.7857,13.0,8.0,61.539,1.0,9.0,75.0,
8,2008,32.6446,20.9302,,1118.64,0.377,,,2964.05,24691.0,,77.01,,,40.3509,5180.0,,,,,7.074,51.7857,14.0,9.0,64.286,1.0,10.0,,
9,2009,35.9504,24.8062,,,,250.367,,2696.41,25244.199,,,,,45.614,5540.0,22.0,,,,10.528,51.7857,13.0,8.0,61.539,1.0,6.0,,
10,2010,37.1901,24.8062,,,,217.115,,2614.11,25824.0,,,,,45.614,5660.0,26.0,,,,10.972,57.1429,14.0,9.0,64.286,1.0,8.0,75.0,
11,2011,46.281,36.4341,,,,224.232,,898.226,15579.6,,61.429,,,49.1228,6263.0,23.0,,,0.0,10.787,66.0714,13.0,8.0,61.539,1.0,9.0,75.0,0.597
12,2012,48.7603,38.7597,,,,216.294,,876.036,16197.6,,44.953,,,54.386,9800.0,24.0,29.0,,0.0,11.8,66.0714,14.0,9.0,64.286,1.0,5.0,75.0,0.14
13,2013,51.6529,41.8605,,,,330.164,,1230.07,15578.7,,69.282,0.0,0.0,54.386,9299.0,24.0,29.0,,0.0,3.026,71.4286,14.0,9.0,64.286,1.0,6.0,75.0,0.306
14,2014,50.4132,41.8605,,,,313.699,,1187.95,15067.6,,61.466,0.0,0.0,54.386,9111.0,23.87,27.0,,0.0,3.0,66.0714,13.0,8.0,61.539,1.0,5.0,75.0,
15,2015,47.1074,37.9845,,,,254.756,,1267.56,13388.5,,55.561,0.0,0.0,54.386,8922.0,23.71,28.0,,0.0,1.812,60.7143,14.0,9.0,64.286,1.0,9.0,75.0,
16,2016,50.8264,37.9845,,,,240.938,,1301.63,13307.1,,54.349,1.0,0.13,59.6491,8552.0,25.07,31.0,,0.0,2.37,71.4286,14.0,9.0,64.286,1.0,7.0,75.0,0.089
17,2017,49.5868,37.9845,,,,1127.29,,3813.25,37715.5,,149.592,1.0,,54.386,17200.0,27.27,17.86,,0.0,10.524000000000001,71.4286,14.0,9.0,64.286,1.0,6.0,75.0,0.56
18,2018,49.5868,37.9845,,,,1103.63,,3707.05,36198.898,,148.341,2.0,,54.386,17700.0,25.94,17.54,,0.0,10.531,71.4286,14.0,9.0,64.286,1.0,7.0,75.0,0.428
19,2019,,,,,,,,,,,,,,,16900.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
