,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,94000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,4.0,75.0,
8,2008,21.4876,6.9767,,,,,,,,,,,,19.2982,96000.0,,,,,3.155,57.1429,11.0,9.0,81.818,1.0,8.0,75.0,
9,2009,27.2727,20.155,,,,777.427,,1729.985,4588.129,5.293,76.884,,,19.2982,78000.0,,,,,2.848,51.7857,11.0,9.0,81.82,1.0,8.0,75.0,
10,2010,33.0579,22.4806,,,,714.111,,1630.3,4947.76,6.456,79.96,,,28.0702,89000.0,,,,,3.251,62.5,11.0,9.0,81.818,1.0,8.0,97.21,
11,2011,,,,,,729.597,,1590.52,4618.41,4.691,68.985,,,,94199.0,41.0,11.0,,,4.199,,10.0,9.0,90.0,1.0,8.0,94.8,
12,2012,,,,,,710.557,,1537.07,4372.35,3.694,67.042,,,,88000.0,41.0,16.0,,,3.087,,11.0,10.0,90.909,1.0,6.0,97.81,
13,2013,41.3223,28.6822,,,,685.484,,1563.87,4194.43,4.12,88.694,,,54.386,90000.0,38.0,16.0,,,3.716,57.1429,11.0,10.0,90.909,1.0,6.0,98.72,
14,2014,43.3884,31.0078,,,,616.712,,1424.47,3823.44,4.86,94.155,,,49.1228,83000.0,41.6,17.1,,,2.912,66.0714,12.0,11.0,91.667,1.0,8.0,92.91,0.0
15,2015,46.6942,39.5349,,,,580.492,,1345.98,3482.74,4.961,95.152,,,49.1228,72000.0,41.0,20.0,,,1.6,60.7143,10.0,9.0,90.0,1.0,10.0,97.6,
16,2016,45.4545,34.8837,,,,598.755,,1495.58,3266.96,5.568,92.862,,,49.1228,75000.0,40.0,20.0,,,2.79,66.0714,12.0,10.0,83.333,1.0,7.0,98.83,
17,2017,47.9339,37.2093,,,,629.484,,1632.17,3346.46,16.004,124.746,,,49.1228,78000.0,41.0,19.0,,,2.3,71.4286,12.0,10.0,83.333,1.0,5.0,100.0,0.0
18,2018,49.5868,40.3101,,,,653.199,,1610.47,3263.17,8.802,101.368,,,49.1228,80000.0,40.0,20.0,,,2.7,71.4286,12.0,10.0,83.333,1.0,5.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,78000.0,,,,,,,12.0,10.0,83.333,1.0,6.0,98.5,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
