,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.3967,,,,,,,,,,,,,8.7719,14200.0,,,,,,44.6429,11.0,10.0,90.909,3.0,6.0,75.0,
9,2009,13.2231,,,,,,,,,,,,,8.7719,12700.0,,,,,,48.2143,11.0,10.0,90.91,3.0,7.0,75.0,
10,2010,16.1157,,,,,,,,,,,,,14.0351,12500.0,,,,,,55.3571,11.0,10.0,90.91,3.0,7.0,75.0,
11,2011,16.1157,,,,,,,,,,,,,14.0351,11500.0,,,,,,55.3571,10.0,9.0,90.0,3.0,7.0,75.0,
12,2012,16.1157,,,,,,,,,,,,,14.0351,11600.0,,,,,,55.3571,10.0,9.0,90.0,3.0,8.0,75.0,
13,2013,16.1157,,,,,,,,,,,,,14.0351,11400.0,,,,,,55.3571,11.0,10.0,90.909,3.0,7.0,75.0,
14,2014,17.3554,,,,,,,,,,,,,19.2982,11700.0,,,,,,55.3571,10.0,9.0,90.0,3.0,7.0,75.0,
15,2015,17.3554,,,,,,,,,,,,,19.2982,12200.0,,,,,,55.3571,9.0,8.0,88.889,3.0,6.0,75.0,
16,2016,17.3554,,,,,,,,,,,,,19.2982,12600.0,,,,,,55.3571,10.0,9.0,90.0,3.0,8.0,75.0,
17,2017,17.3554,,,,,,,,,,,,,19.2982,14400.0,,,,,,55.3571,9.0,8.0,88.889,3.0,8.0,75.0,
18,2018,17.3554,,,,,,,,,,,,,19.2982,15200.0,,,,,,55.3571,9.0,7.0,77.778,3.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,14400.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
