,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,21.0526,13.5417,,,,,,,,,,,,3.5088,338000.0,,,,,,51.7857,11.0,10.0,90.909,3.0,5.0,75.0,
7,2007,30.622,26.0417,,,,2630.0,,,,,,,,17.5439,352000.0,,,,,,51.7857,12.0,10.0,83.333,3.0,5.0,75.0,
8,2008,30.622,26.0417,,,,2948.0,,,,,,,,17.5439,366000.0,,,,,,51.7857,13.0,11.0,84.615,3.0,6.0,75.0,
9,2009,33.4928,26.0417,,,,2989.0,,,,,,,,17.5439,351000.0,,,,,,62.5,12.0,11.0,91.667,3.0,7.0,75.0,0.322
10,2010,26.3158,16.6667,,,,,,,,,,,,17.5439,351000.0,,,,,,51.7857,12.0,11.0,91.667,3.0,5.0,75.0,
11,2011,37.3206,37.5,167.972,,,3129.94,,5571.38,,,,,,17.5439,355000.0,,,,,,57.1429,11.0,11.0,100.0,1.0,5.0,75.0,0.326
12,2012,45.933,43.75,180.5,,,3075.44,,5490.16,13060.3,,,,,28.0702,365000.0,36.0,,,,,67.8571,11.0,10.0,90.909,1.0,5.0,75.0,0.054
13,2013,48.3254,45.8333,186.296,,,3016.91,,5604.86,13590.2,,,,,33.3333,361000.0,57.0,,,,,67.8571,11.0,10.0,90.909,1.0,6.0,75.0,0.164
14,2014,47.8469,40.625,,,,3161.14,,6051.26,12984.6,,,,,33.3333,366000.0,57.0,,,,,75.0,11.0,10.0,90.909,1.0,5.0,75.0,0.171
15,2015,46.4115,40.625,,,,3875.59,,6111.12,12113.9,,,,,33.3333,347000.0,57.0,,,,,69.6429,11.0,10.0,90.909,1.0,11.0,90.0,0.155
16,2016,54.5455,48.9583,,,,2872.51,,5723.57,11470.3,,,,,49.1228,341000.0,57.0,46.0,,,216.139,69.6429,13.0,12.0,92.308,1.0,7.0,84.0,0.201
17,2017,57.8947,55.2083,209.09,,,2918.14,,5633.45,11615.0,1.369,816.31,,,49.1228,323000.0,56.0,42.0,,,209.7,71.4286,13.0,12.0,92.308,1.0,6.0,75.0,0.464
18,2018,57.8947,58.3333,230.452,,,2892.83,,6764.61,11571.0,4.673,831.19,,,49.1228,345000.0,57.0,36.0,,,217.0,66.0714,11.0,10.0,90.909,1.0,7.0,75.0,0.127
19,2019,57.8947,58.3333,280.591,,,2917.55,,7122.29,11107.0,2.339,873.3,,,49.1228,360000.0,58.0,42.0,,,204.0,66.0714,13.0,12.0,92.308,1.0,6.0,80.0,0.137
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
