,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,21.5311,12.5,,,,34.478,,,,,,,,3.5088,8800.0,,,,,,55.3571,9.0,5.0,55.556,1.0,10.0,98.0,
9,2009,17.7033,3.125,,,,,,,,,,,,3.5088,9000.0,,,,,,57.1429,9.0,7.0,77.778,1.0,7.0,84.0,
10,2010,23.9234,12.5,,,,,,,,,,,,7.0175,8400.0,,,,,,60.7143,9.0,7.0,77.778,1.0,6.0,98.0,
11,2011,34.4498,26.0417,,,,44.126,,,,,,,,22.807,9200.0,,,,,6.0,60.7143,9.0,7.0,77.778,1.0,6.0,100.0,
12,2012,41.6268,26.0417,,,,44.332,,,,,,,,43.8596,9800.0,66.0,41.0,,,8.0,66.0714,9.0,7.0,77.778,1.0,6.0,98.0,
13,2013,43.5407,30.2083,,,,46.403,,,,,,1.0,,43.8596,9900.0,68.0,34.0,,,5.0,66.0714,9.0,7.0,77.778,1.0,6.0,98.0,
14,2014,46.89,37.5,,,,43.306,,107.918,,,,0.0,0.0,43.8596,10600.0,66.0,32.0,,,3.0,66.0714,10.0,7.0,70.0,1.0,6.0,100.0,
15,2015,49.2823,39.5833,,,,46.388,,117.416,,,,0.0,0.0,43.8596,12000.0,68.0,41.0,,,4.5,71.4286,10.0,7.0,70.0,1.0,6.0,98.0,0.314
16,2016,49.2823,39.5833,,,,44.829,,116.646,,,,0.0,0.0,43.8596,12200.0,68.0,43.0,,,3.2,71.4286,10.0,7.0,70.0,1.0,6.0,95.0,0.314
17,2017,50.2392,41.6667,,,,42.757,,114.977,,,,0.0,0.0,43.8596,11900.0,69.0,48.0,,,7.9,71.4286,10.0,7.0,70.0,1.0,6.0,98.0,0.314
18,2018,50.2392,41.6667,,,,43.325,,115.476,,,,0.0,0.0,43.8596,13100.0,70.0,46.0,,,13.7,71.4286,12.0,9.0,75.0,1.0,15.0,94.0,0.314
19,2019,50.2392,41.6667,,,,43.306,,117.856,,,,0.0,0.0,43.8596,14200.0,70.0,45.0,,,12.0,71.4286,10.0,8.0,80.0,1.0,6.0,100.0,0.314
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
