,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,15.7895,,,,,,,,,,,,,3.5088,125000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,28.0,75.0,
8,2008,15.7895,,,,,,,,,,,,,3.5088,129000.0,,,,,,55.3571,12.0,10.0,83.333,1.0,14.0,75.0,
9,2009,15.7895,,,,,,,,,,,,,3.5088,133000.0,,,,,,55.3571,12.0,10.0,83.333,1.0,15.0,75.0,
10,2010,21.5311,12.5,,,,,,,,,,,,3.5088,154000.0,,,,,,55.3571,12.0,10.0,83.333,1.0,11.0,75.0,
11,2011,25.8373,12.5,,,,,,,,,,,,19.2982,166000.0,,,,,,55.3571,11.0,9.0,81.82,1.0,10.0,75.0,
12,2012,27.2727,15.625,,,,,,,,,,,,19.2982,168000.0,,,,,,55.3571,9.0,7.0,77.778,1.0,10.0,75.0,
13,2013,28.7081,18.75,,,,741.0,,,,,,,,19.2982,179000.0,,,,,,55.3571,10.0,8.0,80.0,1.0,9.0,75.0,
14,2014,31.1005,18.75,,,,776.0,,,,,,,,22.807,191000.0,,,,,,60.7143,11.0,9.0,81.818,1.0,8.0,75.0,
15,2015,32.5359,18.75,,,,794.0,,,,,,,,28.0702,198000.0,77.0,,,,,60.7143,10.0,8.0,80.0,1.0,7.0,75.0,
16,2016,34.4498,22.9167,,,,832.0,,,,,,,,28.0702,216000.0,77.0,,,,,60.7143,11.0,9.0,81.818,1.0,7.0,75.0,
17,2017,45.933,46.875,72.735,,,827.427,,2153.42,,,,,,28.0702,235000.0,77.0,,,,,62.5,11.0,9.0,81.818,1.0,6.0,75.0,
18,2018,48.3254,48.9583,87.918,,,784.282,,2232.5,,,,,,33.3333,249000.0,77.0,55.0,,,,62.5,11.0,9.0,81.818,1.0,6.0,75.0,
19,2019,48.3254,48.9583,98.106,,,782.883,,2410.18,,,,,,33.3333,270000.0,78.0,52.0,,,,62.5,11.0,9.0,81.818,1.0,5.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
