,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,33000.0,,,,,,51.7857,9.0,8.0,88.889,3.0,10.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,34500.0,,,,,,51.7857,10.0,9.0,90.0,3.0,8.0,75.0,
9,2009,21.4876,11.6279,,,,,,,,,,,,14.0351,35400.0,,,,,,51.7857,12.0,11.0,91.667,3.0,9.0,75.0,
10,2010,22.314,11.6279,,,,,,,,,,,,17.5439,37200.0,,,,,,51.7857,11.0,10.0,90.909,3.0,8.0,75.0,
11,2011,23.1405,11.6279,,,,,,,,,,,,17.5439,39300.0,,,,,,55.3571,12.0,11.0,91.667,3.0,8.0,75.0,
12,2012,30.1653,20.155,,,,,,260.573,623.887,,,,,17.5439,38900.0,,,,,,66.0714,11.0,10.0,90.909,1.0,7.0,75.0,
13,2013,25.6198,11.6279,,,,,,,,,,,,22.807,50000.0,,,,,,60.7143,11.0,10.0,90.909,1.0,11.0,75.0,
14,2014,19.8347,6.9767,,,,,,,,,,,,14.0351,51000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
15,2015,36.7769,26.3566,,,,393.692,,947.802,,,,,,28.0702,52000.0,41.0,,,,,69.6429,10.0,8.0,80.0,1.0,13.0,75.0,0.131
16,2016,36.7769,26.3566,,,,389.108,,991.502,,,,,,28.0702,55000.0,,,,,1.5,69.6429,11.0,9.0,81.818,1.0,10.0,75.0,0.106
17,2017,40.4959,33.3333,,,,478.499,,955.548,,,,,,28.0702,70000.0,,,,,5.5,69.6429,12.0,10.0,83.333,1.0,6.0,75.0,0.103
18,2018,,,,,,,,,,,,,,,70000.0,,,,,4.75,,12.0,10.0,83.333,1.0,7.0,75.0,0.063
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
