,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.9918,,,,,,,,,,,,,7.8125,2498.0,,,,,,51.7857,7.0,6.0,85.714,3.0,17.0,87.14,
8,2008,14.8148,,,,,,,,,,,,,7.8125,3200.0,,,,,,55.3571,6.0,5.0,83.333,3.0,12.0,75.0,
9,2009,14.8148,,,,,,,,,,,,,7.8125,3600.0,,,,,,55.3571,7.0,6.0,85.714,3.0,12.0,94.0,
10,2010,,,,,,,,,,,,,,,3600.0,,,,,,,7.0,6.0,85.714,3.0,10.0,93.0,
11,2011,,,,,,,,,,,,,,,3700.0,,,,,,,6.0,5.0,83.333,3.0,11.0,91.0,
12,2012,,,,,,,,,,,,,,,3700.0,,,,,,,6.0,5.0,83.333,3.0,22.0,86.0,
13,2013,17.284,,,,,,,,,,,,,17.1875,40000.0,,,,,,55.3571,11.0,6.0,54.546,1.0,20.0,75.0,
14,2014,18.5185,,,,,,,,,,,,,21.875,45000.0,,,,,,55.3571,11.0,5.0,45.454,1.0,9.0,75.0,
15,2015,18.5185,,,,,,,,,,,,,21.875,50000.0,,,,,,55.3571,11.0,5.0,45.454,1.0,7.0,75.0,
16,2016,17.284,,,,,,,,,,,,,17.1875,50000.0,,,,,,55.3571,11.0,5.0,45.454,1.0,5.0,75.0,
17,2017,18.5185,2.439,,,,,,,,,,,,17.1875,51000.0,,,,,,55.3571,11.0,5.0,45.454,1.0,16.0,75.0,
18,2018,25.9259,14.6341,,,,,,,,,,,,21.875,52000.0,42.18,,,,,55.3571,12.0,5.0,41.667,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
