,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,17.7033,3.125,,,,,,,,,,,,8.7719,3100.0,,,,,,51.7857,8.0,6.0,75.0,1.0,5.0,75.0,
8,2008,17.7033,3.125,,,,,,,,,,,,8.7719,3700.0,,,,,,51.7857,8.0,6.0,75.0,1.0,4.0,75.0,
9,2009,17.7033,3.125,,,,,,,,,,,,8.7719,4100.0,,,,,,51.7857,8.0,6.0,75.0,1.0,6.0,75.0,
10,2010,17.7033,3.125,,,,,,,,,,,,8.7719,4400.0,,,,,,51.7857,7.0,6.0,85.714,1.0,5.0,75.0,
11,2011,17.7033,3.125,,,,,,,,,,,,8.7719,5200.0,,,,,,51.7857,7.0,6.0,85.714,1.0,6.0,75.0,
12,2012,,,,,,,,,,,,,,,6200.0,,,,,,,7.0,6.0,85.714,1.0,5.0,75.0,
13,2013,36.3636,22.9167,,,,,,,,,,,,38.5965,17200.0,,52.0,,,,57.1429,9.0,7.0,77.778,1.0,6.0,75.0,
14,2014,35.8852,21.875,,,,,,,,,,,,38.5965,17200.0,79.0,51.0,,,,57.1429,10.0,8.0,80.0,1.0,6.0,75.0,
15,2015,34.4498,21.875,,,,,,,,,,,,33.3333,15800.0,71.0,52.0,,,,57.1429,9.0,8.0,88.889,1.0,6.0,75.0,
16,2016,34.4498,25.0,,,,,,,,,,,,28.0702,15100.0,69.0,,,,,57.1429,9.0,8.0,88.889,1.0,5.0,75.0,
17,2017,41.6268,37.5,,,,63.271,,,,,,,,33.3333,21451.0,70.0,,,,,57.1429,9.0,8.0,88.889,1.0,8.0,75.0,
18,2018,34.9282,28.125,,,,,,,42.479,,,,,28.0702,20800.0,76.0,,,,,53.5714,10.0,8.0,80.0,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,21000.0,,,,,,,9.0,8.0,88.889,1.0,6.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
