,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.5965,,,,,,,,,,,,,3.3333,5081.0,,,,,,51.7857,9.0,6.0,66.667,1.0,7.0,75.0,
8,2008,,,,,,35.373,,,,,,,,,5385.0,,,,,,,9.0,6.0,66.667,1.0,7.0,75.0,
9,2009,18.8596,10.7143,,,,32.766,,,,,,,,3.3333,4802.0,,,,,,51.7857,9.0,6.0,66.67,1.0,8.0,75.0,
10,2010,20.1754,10.7143,,,,38.397,,,,,,,,3.3333,5052.0,,,,,,57.1429,10.0,7.0,70.0,1.0,7.0,75.0,
11,2011,26.7544,24.1071,,,,37.808,,,,,,,,3.3333,5255.0,,,,,,57.1429,10.0,7.0,70.0,1.0,7.0,75.0,
12,2012,29.386,26.7857,,,,32.973,,,,,1.017,,,8.3333,5372.0,,,,,,57.1429,11.0,8.0,72.727,1.0,7.0,75.0,
13,2013,24.1228,13.392900000000001,,,,,,,,,0.975,,,13.3333,5668.0,,,,,,57.1429,13.0,10.0,76.923,1.0,8.0,75.0,
14,2014,28.947400000000002,16.0714,,,,,,,,,0.863,,,26.6667,5870.0,47.0,,,,,57.1429,12.0,9.0,75.0,1.0,7.0,75.0,
15,2015,26.3158,10.7143,,,,,,,,,,,,26.6667,5999.0,46.0,,,,,57.1429,14.0,11.0,78.571,1.0,7.0,75.0,
16,2016,29.8246,10.7143,,,,,,,,,,,,36.6667,6329.0,45.0,31.0,,,,60.7143,13.0,11.0,84.615,1.0,8.0,75.0,
17,2017,28.5088,10.7143,,,,,,,,,,,,31.6667,6881.0,44.0,,,,9.6,60.7143,13.0,10.0,76.923,1.0,7.0,75.0,
18,2018,25.8772,10.7143,,,,,,,,,,,,21.6667,7022.0,44.0,,,,,60.7143,11.0,9.0,81.818,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,7365.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
