,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,30.9917,24.8062,,,,5400.0,,,104103.577,,,4.0,0.039,19.2982,104000.0,,,,,,57.1429,11.0,6.0,54.55,1.0,6.0,75.0,
8,2008,31.8182,24.8062,,,,5930.0,,,102211.0,,,2.0,0.031,28.0702,107000.0,,,,,,51.7857,9.0,5.0,55.556,1.0,5.0,75.0,
9,2009,,,,,,5370.0,,,96911.0,,,4.0,2.078,,117000.0,,,,,,,10.0,7.0,70.0,1.0,8.0,75.0,
10,2010,33.0579,24.8062,,,,5640.0,,,96911.0,,,4.0,0.09,29.8246,115000.0,,,,,,55.3571,10.0,7.0,70.0,1.0,5.0,95.0,
11,2011,33.0579,24.8062,,,,5200.0,,,96797.398,,,5.0,0.154,29.8246,115000.0,,,,,,55.3571,9.0,7.0,77.778,1.0,5.0,75.0,
12,2012,31.405,19.3798,,,,,,,92292.5,,,2.0,0.019,29.8246,115000.0,,,,,,60.7143,9.0,7.0,77.778,1.0,4.0,100.0,
13,2013,43.3884,32.5581,,,,6521.4,,11309.9,95775.297,,,1.0,3.953,35.0877,115000.0,,,,,2.4,76.7857,9.0,7.0,77.778,1.0,6.0,100.0,0.11
14,2014,37.6033,31.0078,,,,6520.0,,11590.6,116861.0,,,,0.354,35.0877,124000.0,,,,,7.0,55.3571,9.0,7.0,77.778,1.0,15.0,97.0,
15,2015,46.6942,37.9845,,,,6470.0,,11757.0,115195.0,,1321.89,,0.404,57.8947,113000.0,39.0,12.0,,,8.0,55.3571,9.0,7.0,77.778,1.0,6.0,100.0,
16,2016,44.6281,37.9845,,,,5771.99,,11282.1,118716.0,,1274.68,,0.092,49.1228,114000.0,39.0,,,,8.0,55.3571,9.0,7.0,77.778,1.0,8.0,95.3,
17,2017,45.4545,39.5349,,,,5580.0,,14491.3,119019.0,,1354.22,,0.209,43.8596,122000.0,,,,,7.2,60.7143,10.0,8.0,80.0,1.0,10.0,97.8,
18,2018,48.7603,41.0853,,,,6230.0,,0.016,119473.0,,1876.19,2.0,2.013,54.386,121000.0,39.0,,,,25.25,60.7143,11.0,9.0,81.818,1.0,10.0,98.0,
19,2019,,,,,,,,,,,,,,,141000.0,,,,,,,12.0,10.0,83.333,1.0,9.0,90.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
