,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,7.8512,,,,,,,,,,,,,,,,,,,,33.9286,7.0,4.0,57.143,3.0,,,
13,2013,11.157,,,,,,,,,,,,,,,,,,,,48.2143,8.0,5.0,62.5,3.0,12.0,75.0,
14,2014,11.157,,,,,,,,,,,,,,,,,,,,48.2143,8.0,7.0,87.5,3.0,8.0,75.0,
15,2015,12.8099,,,,,,,,,,,,,3.5088,3898.0,,,,,,51.7857,8.0,6.0,75.0,3.0,19.0,75.0,
16,2016,14.0496,,,,,,,,,,,,,8.7719,3583.0,,,,,,51.7857,10.0,8.0,80.0,3.0,13.0,75.0,
17,2017,15.2893,,,,,,,,,,,,,14.0351,3372.0,38.4,,,,,51.7857,9.0,7.0,77.778,3.0,6.0,75.0,
18,2018,15.2893,,,,,,,,,,,,,14.0351,3920.0,40.2,,,,,51.7857,11.0,9.0,81.818,3.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,4900.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
