,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,30.9917,28.6822,,,,2100.0,,2851.8,35205.898,,40.3,,,12.2807,35500.0,,,,,,55.3571,12.0,10.0,83.333,1.0,10.0,95.0,
6,2006,42.1488,40.3101,,,,2060.0,0.108,2822.4,20442.199,27.0,78.2,,,22.807,30986.0,,,,,7.9,66.0714,12.0,10.0,83.333,1.0,10.0,99.0,
7,2007,47.9339,44.186,,,,2070.0,0.106,2871.02,20063.6,17.2,42.8,,,38.5965,30175.0,,,72.0,0.0,22.394,66.0714,10.0,9.0,90.0,1.0,9.0,99.0,
8,2008,51.2397,45.7364,,,,2030.0,0.106,2738.05,18927.9,24.3,66.2,,,38.5965,29537.0,,,62.0,0.0,8.709,76.7857,11.0,10.0,90.909,1.0,9.0,98.0,0.0
9,2009,53.3058,48.062,,,,1740.0,0.084,2582.88,17413.699,18.1,54.2,,,42.1053,26584.0,,,51.0,0.0,21.85,76.7857,11.0,10.0,90.909,1.0,9.0,98.0,0.0
10,2010,61.157,54.2636,,,,1960.0,0.092,2910.78,20820.699,22.6,81.6,0.0,,61.4035,28412.0,34.0,19.0,74.0,0.0,14.15,76.7857,11.0,10.0,90.909,1.0,9.0,88.0,0.002
11,2011,59.5041,57.3643,,,,2310.0,0.106,3132.41,24606.301,20.06,56.4,,,47.3684,29600.0,,,56.0,,22.631,76.7857,10.0,9.0,90.0,1.0,10.0,82.0,0.084
12,2012,57.8512,54.2636,,,,2420.0,0.104,3305.2,27017.699,22.4,35.9,,,57.8947,34151.0,36.0,16.0,82.0,,27.3,66.0714,9.0,8.0,88.889,1.0,10.0,94.0,
13,2013,52.4793,57.3643,77.578,1466.29,0.483,2320.0,,3035.0,26877.699,18.754,32.3,0.0,0.0,22.807,32209.0,,,,,,71.4286,11.0,10.0,90.909,1.0,9.0,100.0,
14,2014,54.1322,58.1395,74.127,1408.03,0.471,2400.0,,2991.0,26120.5,22.179,32.6,0.0,0.0,33.3333,31003.0,38.39,,,,,66.0714,11.0,10.0,90.909,1.0,9.0,97.0,
15,2015,53.719,57.3643,75.848,1398.64,0.472,2408.44,,2960.79,25740.0,21.357,33.437,0.0,0.0,33.3333,29977.0,38.01,,,,,66.0714,12.0,11.0,91.667,1.0,9.0,96.0,
16,2016,49.5868,51.938,74.862,1394.06,0.473,2396.16,,2945.12,25537.6,20.679,32.124,,,33.3333,29865.0,37.53,,,,,60.7143,12.0,11.0,91.667,1.0,10.0,97.0,
17,2017,50.4132,53.4884,73.68,1330.42,0.447,2418.41,,2974.11,25200.6,24.421,36.716,,,33.3333,29714.0,37.38,,,0.0,,60.7143,13.0,11.0,84.615,1.0,9.0,96.0,
18,2018,51.2397,55.0388,76.723,1182.22,0.388,2268.37,,3045.01,25787.4,25.305,37.187,,,33.3333,29888.0,37.28,,,0.0,,60.7143,12.0,11.0,91.667,1.0,10.0,97.0,
19,2019,,,,,,,,,,,,,,,29768.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
