,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,18.595,2.3256,,,,,,,,,,,,22.807,44000.0,,,,,,51.7857,13.0,12.0,92.308,3.0,12.0,75.0,
8,2008,26.8595,13.1783,,,,703.78,,1527.12,,,92000.0,,,33.3333,43000.0,,,,,6.598,51.7857,12.0,11.0,91.667,3.0,15.0,75.0,
9,2009,30.1653,20.155,,,,607.455,,1329.16,,5400.0,57300.0,,,31.5789,32000.0,,,,,6.019,51.7857,13.0,11.0,84.615,3.0,17.0,75.0,
10,2010,28.0992,15.5039,,,,,,1419.97,,4800.0,59900.0,,,33.3333,32000.0,,,,,5.297,51.7857,12.0,11.0,91.667,3.0,7.0,75.0,
11,2011,33.0579,24.8062,,,,627.586,,1385.78,,6900.0,59890.0,,,33.3333,32000.0,,,,0.0,5.206,51.7857,12.0,11.0,91.667,1.0,8.0,75.0,
12,2012,34.2975,27.1318,,,,588.447,,1364.24,,5500.0,67100.0,,,33.3333,33000.0,,,,0.0,4.901,51.7857,11.0,10.0,90.909,1.0,8.0,75.0,
13,2013,35.9504,28.6822,,,,597.371,,1410.58,,2.222,29.615,,,33.3333,32000.0,,,,,5.5,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
14,2014,34.7107,28.6822,,,,620.7,,1400.03,,2.4939999999999998,31.02,,,28.0702,34000.0,,,,,4.6,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
15,2015,34.7107,28.6822,,,,718.7,,1650.49,,2.902,31.519,,,28.0702,35000.0,,,,,6.0,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
16,2016,35.9504,31.0078,,,,709.9,,1649.34,,3.084,65.442,,,28.0702,36000.0,,,,,6.2,55.3571,12.0,11.0,91.667,1.0,7.0,75.0,
17,2017,38.0165,34.8837,,,,669.225,,1615.66,3642.08,3.13,61.762,,,28.0702,37000.0,,,,,6.841,55.3571,12.0,11.0,91.667,1.0,7.0,75.0,
18,2018,39.2562,34.8837,,,,678.345,,1686.33,3884.05,3.395,67.691,,,33.3333,35000.0,20.0,,,,10.019,55.3571,11.0,10.0,90.909,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
