,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.9187,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.43,1.0,7.0,75.0,
8,2008,12.9187,,,,,,,,,,,,,,,,,,,,48.2143,8.0,6.0,75.0,1.0,7.0,75.0,
9,2009,12.9187,,,,,,,,,,,,,,,,,,,,48.2143,8.0,6.0,75.0,1.0,9.0,75.0,
10,2010,18.6603,5.2083,,,,,,,,,,,,8.7719,3900.0,,,,,,51.7857,8.0,6.0,75.0,1.0,10.0,75.0,
11,2011,18.6603,5.2083,,,,,,,,,,,,8.7719,5400.0,,,,,,51.7857,8.0,5.0,62.5,1.0,6.0,75.0,
12,2012,18.6603,5.2083,,,,,,,,,,,,8.7719,5900.0,,,,,,51.7857,10.0,7.0,70.0,1.0,8.0,75.0,
13,2013,18.6603,5.2083,,,,,,,,,,,,8.7719,7800.0,,,,,,51.7857,9.0,6.0,66.667,1.0,8.0,75.0,
14,2014,22.488,5.2083,,,,,,,,,,,,19.2982,10700.0,,,,,,55.3571,11.0,8.0,72.727,1.0,10.0,75.0,
15,2015,28.7081,15.625,,,,,,,,,,,,24.5614,13400.0,,,,,,55.3571,10.0,8.0,80.0,1.0,13.0,75.0,
16,2016,31.1005,18.75,,,,,,,,,,,,28.0702,15200.0,,,,,,55.3571,10.0,8.0,80.0,1.0,14.0,75.0,
17,2017,31.1005,18.75,,,,,,,,,,,,28.0702,15800.0,,,,,,55.3571,9.0,8.0,88.889,1.0,10.0,75.0,
18,2018,29.6651,18.75,,,,,,,,,,,,28.0702,15000.0,,,,,,50.0,10.0,9.0,90.0,1.0,11.0,,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
