,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,33.0579,26.3566,,,,21559.395,13.444,,,,39.953,,,29.8246,49646.0,43.0,,,,12.202,51.7857,13.0,10.0,76.923,1.0,18.0,75.0,
9,2009,38.4298,30.2326,,,,19020.6,12.308,,,,32.438,,,35.0877,46602.0,43.7,,,,11.049,60.7143,13.0,10.0,76.923,1.0,8.0,75.0,
10,2010,38.4298,30.2326,,,,33240.898,16.908,,,,10.845,,,40.3509,86000.0,44.0,,,,2.104,55.3571,16.0,12.0,75.0,1.0,9.0,75.0,
11,2011,42.1488,37.2093,,,,32952.301,15.865,123413.0,,0.742,13.537,,,40.3509,87000.0,44.1,,,,2.312,55.3571,15.0,11.0,73.333,1.0,7.0,75.0,
12,2012,42.9752,41.8605,,,,32395.9,15.322,122024.0,,0.656,46.078,,,38.5965,88000.0,43.0,,,,,50.0,13.0,9.0,69.231,1.0,6.0,,
13,2013,44.6281,40.3101,,,,31667.301,14.473,118141.0,1230.22,0.615,52.193,,,43.8596,87254.0,43.0,,,,,55.3571,13.0,10.0,76.923,1.0,7.0,75.0,
14,2014,44.6281,40.3101,,,,31548.4,13.027,118720.0,1345.09,0.555,59.277,,,43.8596,84472.0,42.6,,,,,55.3571,13.0,10.0,76.923,1.0,5.0,75.0,
15,2015,42.1488,40.3101,,,,31729.699,13.139,144567.0,1299.95,0.342,57.965,,,33.3333,84228.0,,,,,,55.3571,12.0,9.0,75.0,1.0,11.0,75.0,
16,2016,44.2149,39.5349,,,,31738.6,16.221,145253.0,1714.87,,41.786,,,38.5965,88000.0,,,,,13.549,60.7143,15.0,12.0,80.0,1.0,16.0,75.0,
17,2017,45.0413,39.5349,,,,32661.1,13.675,147916.0,1998.79,,61.232,,,38.5965,89800.0,,,,,21.787,64.2857,15.0,12.0,80.0,1.0,10.0,75.0,
18,2018,43.8017,41.8605,,,,33466.5,13.354,153752.0,2013.93,,61.226,,,33.3333,92000.0,,,,,,58.9286,14.0,11.0,78.571,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
