,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,11.5702,,,,,,,,,,,,,3.5088,1919.0,,,,,,46.4286,11.0,10.0,90.91,,7.0,75.0,
8,2008,11.5702,,,,,,,,,,,,,3.5088,1338.0,,,,,,46.4286,11.0,10.0,90.91,,9.0,75.0,
9,2009,11.5702,,,,,,,,,,,,,3.5088,1363.0,,,,,,46.4286,9.0,8.0,88.889,,9.0,75.0,
10,2010,13.6364,1.5504,,,,,,,,,,,,3.5088,1632.0,,,,,,51.7857,9.0,8.0,88.89,1.0,8.0,75.0,
11,2011,13.6364,1.5504,,,,,,,,,,,,3.5088,1750.0,,,,,,51.7857,9.0,8.0,88.889,1.0,8.0,75.0,
12,2012,16.1157,1.5504,,,,,,,,,,,,14.0351,1633.0,,,,,,51.7857,8.0,7.0,87.5,1.0,7.0,75.0,
13,2013,16.1157,1.5504,,,,,,,,,,,,14.0351,1681.0,,,,,,51.7857,8.0,7.0,87.5,1.0,9.0,75.0,
14,2014,16.1157,1.5504,,,,,,,,,,,,14.0351,1582.0,,,,,,51.7857,9.0,8.0,88.889,1.0,7.0,75.0,
15,2015,16.1157,1.5504,,,,,,,,,,,,14.0351,1611.0,,,,,,51.7857,9.0,8.0,88.889,1.0,8.0,75.0,
16,2016,16.1157,1.5504,,,,,,,,,,,,14.0351,1587.0,,,,,,51.7857,10.0,9.0,90.0,1.0,7.0,75.0,
17,2017,16.1157,1.5504,,,,,,,,,,,,14.0351,1542.0,,,,,,51.7857,10.0,9.0,90.0,1.0,7.0,75.0,
18,2018,30.1653,17.0543,,,,,,,,,,,,28.0702,1431.0,40.0,,,,,62.5,10.0,9.0,90.0,1.0,6.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,1351.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
