,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,8.0,88.89,3.0,16.0,75.0,
10,2010,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,8.0,88.89,3.0,19.0,75.0,
11,2011,11.157,,,,,,,,,,,,,,,,,,,,48.2143,8.0,7.0,87.5,3.0,13.0,75.0,
12,2012,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,8.0,88.89,3.0,8.0,75.0,
13,2013,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,8.0,88.889,3.0,12.0,75.0,
14,2014,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,8.0,88.889,3.0,15.0,75.0,
15,2015,17.3554,,,,,,,,,,,,,22.807,22400.0,,,,,,51.7857,10.0,9.0,90.0,3.0,8.0,87.0,
16,2016,17.3554,,,,,,,,,,,,,22.807,26500.0,,,,,,51.7857,11.0,10.0,90.909,3.0,6.0,76.0,
17,2017,17.3554,,,,,,,,,,,,,22.807,31800.0,,,,,,51.7857,11.0,10.0,90.909,3.0,7.0,94.0,
18,2018,20.6612,,,,,,,,,,,,,33.3333,34700.0,92.0,63.0,,,,55.3571,12.0,11.0,91.667,3.0,6.0,100.0,
19,2019,18.1818,,,,,,,,,,,,,22.807,44000.0,,,,,,55.3571,11.0,10.0,90.909,3.0,8.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
