,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,17.7686,4.6512,,,,,,282.67,,,,,,14.0351,67000.0,,,,,9.025,51.7857,11.0,10.0,90.909,1.0,10.0,75.0,
8,2008,20.2479,6.9767,,,,,,229.659,,,,,,19.2982,75000.0,,,,,33.2,51.7857,9.0,8.0,88.889,1.0,12.0,75.0,
9,2009,17.3554,3.876,,,,,,,,,,,,14.0351,80000.0,,,,,55.0,51.7857,9.0,8.0,88.889,1.0,6.0,75.0,
10,2010,17.3554,3.876,,,,,,,,,,,,14.0351,87000.0,,,,,,51.7857,9.0,8.0,88.889,1.0,9.0,75.0,
11,2011,19.4215,7.7519,,,,,,,,,,,,14.0351,99000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,12.0,75.0,
12,2012,17.3554,3.876,,,,,,,,,,,,14.0351,133000.0,,,,,60.3,51.7857,10.0,9.0,90.0,1.0,10.0,75.0,
13,2013,16.5289,4.6512,,,,,,,,,,,,8.7719,156000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,10.0,75.0,
14,2014,18.595,6.2016,,,,,,,,,,,,14.0351,170000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,10.0,75.0,
15,2015,22.314,13.1783,,,,,,372.206,690.0,,,,,14.0351,200000.0,,,,,,51.7857,10.0,8.0,80.0,1.0,10.0,75.0,
16,2016,33.4711,27.1318,,,,189.167,,372.857,942.929,,5.973,,,29.8246,230000.0,66.0,,,,70.0,51.7857,10.0,8.0,80.0,1.0,10.0,75.0,
17,2017,33.8843,29.4574,,,,173.289,,366.475,840.0,,15.898,,,29.8246,260000.0,69.0,,,,78.9,48.2143,12.0,10.0,83.333,1.0,11.0,75.0,
18,2018,36.7769,31.0078,,,,170.953,,364.678,740.0,,15.521,,,29.8246,300000.0,66.0,,,,62.0,57.1429,11.0,10.0,90.909,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,325000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
