,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,42.1053,17.8571,,,,34.38,,,,,,0.0,0.0,65.0,9980.0,66.0,52.0,28.0,0.0,12.0,66.0714,11.0,10.0,90.909,3.0,10.0,75.0,0.023
8,2008,53.5088,41.0714,,,,50.35,,123.74,223.033,0.0,1790.0,0.0,0.0,65.0,10084.0,66.0,50.0,28.0,0.0,10.2,66.0714,12.0,11.0,91.667,3.0,8.0,75.0,0.042
9,2009,57.4561,49.1071,,,,46.41,,114.64,183.923,0.0,5931.0,0.0,0.0,65.0,9915.0,66.0,50.0,7.0,0.0,11.1,66.0714,12.0,11.0,91.667,3.0,12.0,75.0,0.096
10,2010,40.7895,44.6429,,,,46.2,,114.12,187.246,,2378.0,,,13.3333,9500.0,,,,,6.7,62.5,12.0,11.0,91.667,3.0,11.0,75.0,0.071
11,2011,37.7193,39.2857,,,,43.23,,106.73,181.22,,2654.36,,,16.6667,9400.0,,,,,10.0,57.1429,11.0,10.0,90.909,3.0,15.0,75.0,
12,2012,24.1228,10.7143,,,,,,,,,,,,11.6667,9100.0,,,,,,64.2857,12.0,11.0,91.667,3.0,11.0,75.0,0.016
13,2013,26.7544,13.392900000000001,,,,,,,,,,,,16.6667,9200.0,,,,,,64.2857,13.0,12.0,92.308,3.0,7.0,95.0,0.011
14,2014,28.0702,13.392900000000001,,,,,,,,,,,,21.6667,9500.0,,,,,7.6,64.2857,13.0,12.0,92.308,1.0,7.0,97.0,0.032
15,2015,28.0702,13.392900000000001,,,,,,,,,,,,21.6667,9400.0,,,,,7.9,64.2857,15.0,13.0,86.667,1.0,9.0,97.0,0.014
16,2016,22.807,5.3571,,,,,,,,,,,,21.6667,9400.0,,,,,7.2,58.9286,13.0,11.0,84.615,1.0,6.0,98.0,
17,2017,24.1228,5.3571,,,,,,,,,,,,21.6667,9400.0,,,,,7.5,64.2857,11.0,10.0,90.909,1.0,6.0,98.0,0.06
18,2018,28.0702,10.7143,,,,,,,,,,,,26.6667,9600.0,64.95,,,,,64.2857,11.0,10.0,90.909,1.0,7.0,98.0,0.089
19,2019,,,,,,,,,,,,,,,10300.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
