,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,18.595,8.5271,,,,13593.1,,,,,,,,8.7719,50089.0,,,,,,51.7857,10.0,9.0,90.0,1.0,8.0,95.0,
8,2008,18.595,8.5271,,,,12593.6,,,,,,,,8.7719,48242.0,,,,,,51.7857,12.0,11.0,91.667,1.0,6.0,97.0,
9,2009,30.9917,17.8295,,,,10030.8,,,,,,,,28.0702,43531.0,,,,,13.0,64.2857,12.0,11.0,91.667,1.0,6.0,98.0,
10,2010,31.8182,17.8295,,,,10771.1,,,,,,,,31.5789,42884.0,,,,,14.0,64.2857,12.0,11.0,91.667,1.0,7.0,97.0,
11,2011,42.562,34.8837,,,,12265.017,,47297.783,11432.466,,1252.464,,,38.5965,45000.0,5.0,,,,14.0,64.2857,12.0,11.0,91.67,1.0,6.0,96.0,
12,2012,45.0413,41.8605,,,,12002.685,,45599.998,10675.348,,1120.0,,,33.3333,45928.0,5.0,,,,,64.2857,13.0,11.0,84.62,1.0,7.0,99.0,
13,2013,48.7603,44.186,,,,11953.9,,45700.0,7192.61,,1150.0,,,43.8596,46445.0,6.0,17.0,,,,64.2857,13.0,11.0,84.615,1.0,6.0,99.0,
14,2014,48.7603,44.186,,,,12666.7,,48400.0,6738.34,,1050.0,,,43.8596,47201.0,6.0,17.0,,,,64.2857,11.0,10.0,90.909,1.0,6.0,99.0,
15,2015,48.7603,44.186,,,,11683.5,,44500.0,5829.8,,1040.0,,,43.8596,47457.0,6.0,19.0,,,,64.2857,11.0,10.0,90.909,1.0,6.0,100.0,
16,2016,48.7603,44.186,,,,10685.2,,40600.0,4731.98,,1150.0,,,43.8596,43000.0,6.0,19.0,,,,64.2857,11.0,10.0,90.909,1.0,6.0,96.3,
17,2017,50.8264,45.7364,,,,10969.9,,41900.0,4315.57,,1250.0,,,49.1228,41814.0,6.0,21.0,,,18.0,64.2857,12.0,11.0,91.667,1.0,6.0,99.5,
18,2018,52.0661,48.062,,,,11759.2,,44500.0,4542.7,,2090.0,,,49.1228,41967.0,5.0,21.0,,,20.0,64.2857,11.0,10.0,90.909,1.0,7.0,99.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
