,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,28.0992,12.4031,,,,,,,,,,,,35.0877,384000.0,,28.0,,,39.9,57.1429,10.0,7.0,70.0,1.0,6.0,75.0,
5,2005,40.0826,28.6822,,,,7130.0,,26222.199,,7.96,79.6,9.0,0.009,49.1228,407200.0,,28.0,,5.0,91.6,57.1429,12.0,9.0,75.0,1.0,5.0,75.0,
6,2006,35.9504,20.9302,,,,7370.0,,27277.801,,,,,,49.1228,427700.0,,29.0,,9.0,96.9,57.1429,11.0,9.0,81.818,1.0,5.0,75.0,
7,2007,41.3223,32.5581,,,,13300.0,,27794.4,,0.879,158.911,,,45.614,425300.0,,29.0,,16.0,97.9,57.1429,12.0,10.0,83.333,1.0,6.0,75.0,
8,2008,45.8678,35.6589,,,,13200.0,,27130.6,,1.12,2101.12,9.0,0.063,52.6316,425900.0,,29.0,,6.0,100.9,62.5,10.0,8.0,80.0,1.0,7.0,75.0,2.5
9,2009,53.719,44.186,,,,12361.0,,46568.898,,1.145,104.0,10.0,0.028,56.1404,408000.0,,29.0,,9.0,97.6,73.2143,10.0,8.0,80.0,1.0,5.0,,2.4
10,2010,64.4628,62.0155,11620.0,12533.0,0.262,12630.0,,47752.0,,1.5150000000000001,203.142,13.0,0.084,56.1404,400600.0,,29.0,,6.0,97.1,78.5714,11.0,9.0,81.818,1.0,5.0,75.0,2.2
11,2011,63.2231,59.6899,11896.0,12778.0,0.263,12808.0,,48650.0,,1.9769999999999999,220.269,13.0,0.012,52.6316,398300.0,,29.1,,4.0,93.5,82.1429,12.0,10.0,83.333,1.0,5.0,75.0,2.22
12,2012,61.5702,58.9147,11615.0,12435.0,0.261,12539.0,,47572.199,,1.475,142.396,7.0,0.012,57.8947,397123.0,20.2,29.0,,11.0,97.5,71.4286,13.0,11.0,84.615,1.0,5.0,,0.0
13,2013,61.9835,57.3643,11678.0,12502.0,0.261,12598.0,,47900.301,,1.279,165.271,12.0,0.048,57.8947,395000.0,20.1,18.2,,9.0,102.0,76.7857,13.0,11.0,84.615,1.0,5.0,75.0,0.0
14,2014,64.4628,59.6899,11899.0,12765.0,0.26,12870.0,,49103.301,,1.267,243.059,3.0,0.009,63.1579,435000.0,20.0,19.2,,5.0,104.2,76.7857,15.0,12.0,80.0,1.0,6.0,75.0,0.0
15,2015,64.4628,59.6899,12072.0,12882.0,0.258,13020.0,,49868.301,,1.383,312.259,8.0,0.007,63.1579,444000.0,20.0,20.0,,9.0,110.0,76.7857,12.0,10.0,83.333,1.0,8.0,75.0,0.0
16,2016,64.4628,59.6899,12294.0,13121.0,0.256,13263.0,,51338.102,,1.429,331.185,4.0,0.001,63.1579,434000.0,20.0,25.0,,8.0,116.6,76.7857,11.0,10.0,90.909,1.0,6.0,75.0,0.0
17,2017,55.3719,49.6124,,,,13792.0,,51858.898,,1.597,379.383,,,47.3684,454000.0,20.0,25.0,,15.0,,76.7857,12.0,11.0,91.667,1.0,5.0,75.0,0.0
18,2018,55.3719,49.6124,,,,14635.0,,55116.699,,1.7069999999999999,431.209,,,47.3684,481000.0,21.0,25.0,,8.0,,76.7857,13.0,12.0,92.308,1.0,5.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,495000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
