,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,32.6446,28.6822,,,,208.137,,312.554,193.496,,,,0.012,17.5439,7300.0,,,,,,57.1429,11.0,10.0,90.909,1.0,10.0,95.5,
11,2011,32.6446,28.6822,,,,207.313,,304.805,381.757,,,,0.004,17.5439,7468.0,,,,,,57.1429,11.0,10.0,90.909,1.0,8.0,90.9,
12,2012,42.1488,44.186,,,,80.823,,838.606,824.228,0.072,27.715,13.0,0.007,28.0702,11300.0,,,,,0.314,51.7857,13.0,12.0,92.308,1.0,6.0,75.0,
13,2013,44.6281,44.186,,,,95.577,,1145.83,671.472,0.609,31.439,17.0,0.01,33.3333,11850.0,,,,,0.583,57.1429,13.0,12.0,92.308,1.0,10.0,75.0,
14,2014,46.281,43.4109,,,,283.457,,1109.69,774.523,0.059,21.483,23.0,0.008,38.5965,12500.0,,,136.0,0.0,0.435,60.7143,13.0,12.0,92.308,1.0,6.0,75.0,
15,2015,46.6942,44.186,,,,266.981,,1038.01,1009.44,0.654,17.776,15.0,,38.5965,12720.0,,,107.0,0.0,0.488,60.7143,11.0,10.0,90.909,1.0,6.0,100.0,
16,2016,48.3471,47.2868,,,,285.609,,1126.53,1410.69,0.061,35.189,11.0,,38.5965,12506.0,,,121.0,0.0,0.415,60.7143,11.0,10.0,90.909,1.0,5.0,99.43,
17,2017,48.3471,47.2868,,,,295.624,,1172.1,1204.34,0.062,34.992,27.0,,38.5965,14846.0,,,124.0,0.0,0.464,60.7143,10.0,9.0,90.0,1.0,13.0,75.0,
18,2018,47.1074,47.2868,,,,371.102,,1594.71,1001.88,0.036,58.836,18.0,,33.3333,18500.0,,,152.0,1.0,,60.7143,12.0,11.0,91.667,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,19100.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
