,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,15.7895,,,,,,,,,,,,,8.3333,49684.0,,,,,,55.3571,12.0,10.0,83.333,3.0,6.0,75.0,
6,2006,15.7895,,,,,,,,,,,,,8.3333,50423.0,,,,,,55.3571,14.0,11.0,78.571,3.0,6.0,75.0,
7,2007,27.193,20.5357,,,,400.15,,752.315,,,,,,8.3333,54324.0,,,,,,60.7143,14.0,12.0,85.714,3.0,8.0,75.0,
8,2008,27.193,20.5357,,,,384.143,,714.403,,,,,,8.3333,57904.0,,,,,,60.7143,13.0,12.0,92.308,1.0,12.0,75.0,
9,2009,27.193,17.8571,,,,386.0,,766.0,,,,,,13.3333,58229.0,,,,,8.1,60.7143,13.0,12.0,92.308,1.0,9.0,75.0,
10,2010,35.0877,33.9286,,,,411.379,,771.721,,,,,,13.3333,60584.0,,,,,16.6,60.7143,13.0,12.0,92.308,1.0,6.0,75.0,
11,2011,37.7193,39.2857,45.612,,,431.386,,812.322,,,,,,13.3333,62529.0,,,,,24.0,60.7143,13.0,12.0,92.308,1.0,9.0,75.0,
12,2012,39.9123,38.3929,37.951,,,408.727,,777.747,,,,,,23.3333,64486.0,,,,,24.5,60.7143,14.0,13.0,92.857,1.0,8.0,97.0,
13,2013,26.3158,13.392900000000001,,,,,,,,,,,,23.3333,65565.0,,,,,19.7,55.3571,14.0,13.0,92.857,1.0,8.0,99.0,
14,2014,36.8421,34.8214,,47.441,0.056,407.174,,842.262,,,,,,23.3333,66750.0,,,,,21.0,55.3571,16.0,15.0,93.75,1.0,8.0,98.0,
15,2015,33.7719,28.5714,,,,377.605,,785.925,,,,,,23.3333,65433.0,,,,,27.5,55.3571,15.0,14.0,93.333,1.0,8.0,98.0,
16,2016,36.4035,31.25,,,,383.701,,872.881,,,,,,28.3333,73000.0,60.0,,,,28.0,55.3571,14.0,13.0,92.857,1.0,8.0,99.0,
17,2017,38.1579,34.8214,53.583,,,342.225,,864.69,,,,,,28.3333,74000.0,60.0,,,,32.1,55.3571,16.0,14.0,87.5,1.0,8.0,99.0,
18,2018,,,,,,,,,,,,,,,74000.0,,,,,32.0,,17.0,16.0,94.118,1.0,9.0,98.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
