,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,21.4876,13.9535,,,,1660.0,,,,,413.0,,,14.0351,222200.0,,,,,17.6,46.4286,13.0,11.0,84.615,,7.0,94.0,
6,2006,22.7273,16.2791,,,,2430.0,,,8248.79,,175.964,,,8.7719,213197.0,,,,,,51.7857,14.0,12.0,85.714,,7.0,75.0,
7,2007,22.7273,16.2791,,,,2320.0,,,7756.66,,151.474,,,14.0351,225600.0,,,,,20.3,46.4286,14.0,12.0,85.714,,7.0,75.0,
8,2008,22.7273,16.2791,,,,2170.0,,,7283.46,,141.043,,,14.0351,223100.0,,,,,25.5,46.4286,14.0,12.0,85.714,,7.0,75.0,
9,2009,23.1405,14.7287,,,,1940.0,,,6223.5,,113.379,,,19.2982,206700.0,,,,3.0,19.0,46.4286,13.0,12.0,92.308,,7.0,75.0,
10,2010,24.7934,16.2791,,,,1950.0,,,6102.36,,109.751,,,14.0351,208200.0,,,,,,55.3571,12.0,11.0,91.667,1.0,7.0,75.0,
11,2011,25.2066,15.5039,,,,1850.0,,,5875.23,,112.018,,,14.0351,199900.0,,,,,,58.9286,13.0,12.0,92.308,1.0,8.0,75.0,
12,2012,27.686,20.155,,,,1750.0,,,5299.82,,101.134,,,14.0351,218000.0,,,,,,58.9286,13.0,12.0,92.308,1.0,7.0,75.0,
13,2013,26.4463,17.8295,,,,2200.0,,,6814.05,,129.705,,,14.0351,212000.0,,,,,,58.9286,12.0,11.0,91.667,1.0,7.0,75.0,
14,2014,28.9256,17.8295,,,,2100.0,,,6435.49,,131.066,,,24.5614,211000.0,,,,,,58.9286,11.0,10.0,90.909,1.0,8.0,75.0,
15,2015,29.7521,17.8295,,,,1940.0,,,6246.21,,118.367,,,28.0702,197000.0,,,,,,58.9286,11.0,10.0,90.909,1.0,10.0,75.0,
16,2016,39.6694,34.1085,,,,1863.99,,6238.18,5882.0,,,,,28.0702,201600.0,,,,,,64.2857,14.0,13.0,92.857,1.0,8.0,75.0,
17,2017,42.9752,40.3101,751.774,,,1856.39,,7479.4,5521.0,,,,,28.0702,205000.0,,,,,,64.2857,13.0,12.0,92.308,1.0,10.0,98.0,
18,2018,34.2975,22.4806,,,,,,,5489.1,,,,,31.5789,240000.0,,,,,,64.2857,14.0,13.0,92.857,1.0,9.0,99.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
