,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.8099,,,,,,,,,,,,,3.5088,5765.0,,,,,,51.7857,17.0,10.0,58.824,3.0,8.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,5700.0,,,,,,51.7857,17.0,10.0,58.824,3.0,12.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,3.5088,6800.0,,,,,,57.1429,16.0,9.0,56.25,3.0,12.0,75.0,1.6099999999999999
11,2011,14.0496,,,,,,,,,,,,,3.5088,7500.0,,,,,,57.1429,10.0,9.0,90.0,1.0,11.0,75.0,0.649
12,2012,20.2479,6.9767,,,,,,,,,,,,14.0351,8500.0,,,,,,57.1429,10.0,9.0,90.0,1.0,13.0,75.0,2.111
13,2013,31.405,27.907,7.389,,,80.713,,559.207,,,,,,14.0351,9500.0,,,,,,57.1429,10.0,9.0,90.0,1.0,11.0,75.0,0.704
14,2014,32.6446,30.2326,10.213,,,84.231,,141.517,,,,,,14.0351,9500.0,,,,,,57.1429,11.0,10.0,90.909,1.0,11.0,75.0,0.598
15,2015,33.8843,30.2326,16.762,,,84.911,,193.073,,,,,,14.0351,11300.0,,,,,,62.5,12.0,11.0,91.667,1.0,12.0,75.0,0.76
16,2016,37.6033,31.0078,,,,77.973,,187.479,284.716,,,,,22.807,14200.0,,,,,,67.8571,12.0,11.0,91.667,1.0,17.0,75.0,1.054
17,2017,36.3636,31.0078,,,,65.771,,189.044,247.471,,,,,22.807,15000.0,,,,,,62.5,10.0,9.0,90.0,1.0,10.0,75.0,0.957
18,2018,39.6694,32.5581,,,,63.226,,641.637,187.049,,,,,33.3333,17000.0,41.0,31.0,,,,62.5,10.0,9.0,90.0,1.0,11.0,75.0,1.2
19,2019,,,,,,,,,,,,,,,19500.0,,,,,,,10.0,9.0,90.0,1.0,13.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
