,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.8099,,,,,,,,,,,,,3.5088,4900.0,,,,,,51.7857,9.0,7.0,77.778,3.0,5.0,75.0,
9,2009,19.8347,13.1783,,,,,,57.84,85.553,0.033,0.033,,,3.5088,5100.0,,,,,,51.7857,9.0,7.0,77.778,3.0,5.0,75.0,
10,2010,28.5124,22.4806,,,,61.803,,57.966,96.792,0.055,0.055,,,14.0351,5300.0,,,,,1.2,57.1429,9.0,7.0,77.778,3.0,5.0,75.0,
11,2011,,,,,,63.556,,59.725,109.171,0.044,0.044,,,,5700.0,,,,,,,10.0,8.0,80.0,3.0,6.0,75.0,
12,2012,30.5785,22.4806,,,,63.481,,88.55,174.036,,,,,17.5439,6100.0,,,,,1.0,62.5,11.0,8.0,72.727,3.0,6.0,75.0,
13,2013,32.2314,24.031,,,,53.761,,91.413,184.244,,,,,17.5439,6729.0,,,,,8.3,66.0714,10.0,7.0,70.0,3.0,5.0,75.0,
14,2014,33.8843,31.0078,,,,50.26,,76.286,138.866,,,,,14.0351,6800.0,,,,,,60.7143,10.0,8.0,80.0,3.0,5.0,75.0,
15,2015,32.6446,28.6822,,,,,,79.193,175.249,,,,,14.0351,7300.0,,,,,,60.7143,10.0,8.0,80.0,3.0,8.0,74.7,
16,2016,30.5785,24.8062,,,,,,46.484,92.709,,,,,14.0351,7800.0,,,,,,60.7143,10.0,9.0,90.0,3.0,6.0,75.0,
17,2017,35.9504,30.2326,,,,,,46.058,96.951,,4.237,,,24.5614,6600.0,25.5,,,,,60.7143,10.0,9.0,90.0,1.0,9.0,75.0,
18,2018,27.2727,13.9535,,,,,,,,,,,,24.5614,7084.0,26.7,,,,,60.7143,8.0,7.0,87.5,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,10062.0,,,,,,,10.0,9.0,90.0,1.0,5.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
