,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.876,,,,,,,,,,,,,8.7719,54200.0,,,,,,55.3571,13.0,11.0,84.615,3.0,9.0,75.0,
8,2008,14.876,,,,,,,,,,,,,8.7719,46600.0,,,,,,55.3571,12.0,11.0,91.667,3.0,7.0,75.0,
9,2009,20.6612,10.8527,,,,274.536,,,,,,,,8.7719,45700.0,,,,,,55.3571,13.0,12.0,92.308,3.0,9.0,75.0,
10,2010,23.1405,13.1783,,,,282.0,,,,,,,,14.0351,47000.0,,,,,,55.3571,12.0,11.0,91.67,3.0,6.0,75.0,
11,2011,19.8347,6.9767,,,,,,,,,,,,14.0351,58000.0,,,,,,55.3571,12.0,11.0,91.67,3.0,11.0,75.0,
12,2012,21.0744,6.9767,,,,,,,,,,,,19.2982,57000.0,,,,,,55.3571,12.0,11.0,91.667,3.0,6.0,75.0,
13,2013,42.562,41.0853,,,,263.485,,833.333,2920.83,7.0,70.0,,,28.0702,59000.0,,,,,10.0,60.7143,12.0,11.0,91.667,1.0,7.0,75.0,
14,2014,21.0744,6.9767,,,,,,,,,,,,19.2982,59000.0,,,,,,55.3571,12.0,11.0,91.667,1.0,6.0,75.0,
15,2015,29.7521,23.2558,,,,258.815,,799.511,,,,,,19.2982,64000.0,,,,,,55.3571,12.0,10.0,83.333,1.0,7.0,75.0,
16,2016,43.3884,41.8605,,,,250.526,,731.607,3512.48,5.539,75.87,,,24.5614,68966.0,53.0,,,,,66.0714,12.0,10.0,83.333,1.0,8.0,75.0,
17,2017,30.5785,24.8062,,,,233.535,,1158.65,,,,,,19.2982,69000.0,,,,,,55.3571,12.0,11.0,91.667,1.0,8.0,75.0,
18,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2019,38.843,35.6589,,,,213.313,,731.099,,,,,,24.5614,68330.0,,,,0.0,,60.7143,11.0,10.0,90.909,1.0,7.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
