,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,23970.0,,,,,,51.7857,14.0,10.0,71.429,1.0,9.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,25920.0,,,,,,51.7857,14.0,10.0,71.429,1.0,9.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,25580.0,,,,,,51.7857,14.0,10.0,71.429,1.0,10.0,75.0,
10,2010,19.0083,9.3023,,,,,,,,,,,,8.7719,25380.0,,,,,,51.7857,14.0,9.0,64.286,1.0,7.0,75.0,
11,2011,19.0083,9.3023,,,,,,,,,,,,8.7719,20915.0,,,,,,51.7857,14.0,9.0,64.286,1.0,9.0,75.0,
12,2012,19.0083,9.3023,,,,,,,,,,,,8.7719,20930.0,,,,,,51.7857,14.0,9.0,64.286,1.0,8.0,75.0,
13,2013,19.0083,6.9767,,,,,,,,,,,,14.0351,19490.0,,,,,,51.7857,14.0,9.0,64.286,1.0,7.0,75.0,
14,2014,19.0083,6.9767,,,,,,,,,,,,14.0351,17310.0,,,,,,51.7857,14.0,9.0,64.286,1.0,7.0,75.0,
15,2015,19.0083,6.9767,,,,,,,,,,,,14.0351,16260.0,,,,,,51.7857,14.0,9.0,64.286,1.0,7.0,75.0,
16,2016,15.2893,,,,,,,,,,,,,14.0351,21270.0,,,,,,51.7857,13.0,8.0,61.539,1.0,9.0,75.0,
17,2017,15.2893,,,,,,,,,,,,,14.0351,16730.0,,,,,,51.7857,14.0,9.0,64.286,1.0,8.0,75.0,
18,2018,15.2893,,,,,,,,,,,,,14.0351,16730.0,,,,,,51.7857,11.0,9.0,81.818,1.0,15.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
