,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,16.5289,5.4264,,,,,,,,,,,,3.5088,8838.0,,,,,,55.3571,11.0,10.0,90.909,3.0,5.0,75.0,
4,2004,14.4628,1.5504,,,,,,,,,,,,3.5088,8410.0,,,,,,55.3571,10.0,9.0,90.0,3.0,8.0,75.0,
5,2005,14.4628,1.5504,,,,,,,,,,,,3.5088,8051.0,,,,,,55.3571,10.0,9.0,90.0,3.0,11.0,75.0,
6,2006,14.4628,1.5504,,,,,,,,,,,,3.5088,7983.0,,,,,,55.3571,10.0,9.0,90.0,3.0,9.0,75.0,
7,2007,15.7025,1.5504,,,,,,,,,,,,8.7719,10522.0,,,,,,55.3571,11.0,10.0,90.91,3.0,8.0,75.0,
8,2008,15.7025,1.5504,,,,,,,,,,,,8.7719,9320.0,,,,,,55.3571,10.0,8.0,80.0,3.0,5.0,75.0,
9,2009,16.5289,3.1008,,,,,,,,,,,,8.7719,8227.0,,,,,,55.3571,12.0,11.0,91.667,3.0,8.0,75.0,
10,2010,24.7934,12.4031,,,,,,,,,,,,22.807,7749.0,,,,,,55.3571,12.0,11.0,91.667,3.0,7.0,75.0,
11,2011,24.3802,11.6279,,,,,,,,,,,,22.807,7418.0,,,,,,55.3571,11.0,10.0,90.909,3.0,11.0,75.0,
12,2012,23.5537,11.6279,,,,,,,,,,,,22.807,7028.0,,,,,,51.7857,10.0,9.0,90.0,3.0,11.0,75.0,
13,2013,23.5537,11.6279,,,,,,,,,,,,22.807,7211.0,,,,,,51.7857,12.0,11.0,91.667,3.0,6.0,75.0,
14,2014,24.3802,11.6279,,,,,,,,,,,,22.807,6941.0,,,,,,55.3571,13.0,11.0,84.615,3.0,6.0,75.0,
15,2015,25.6198,11.6279,,,,,,,,,,,,28.0702,7187.0,,,,,,55.3571,13.0,11.0,84.615,3.0,5.0,75.0,
16,2016,26.4463,11.6279,,,,,,,,,,,,28.0702,7533.0,,,,,,58.9286,11.0,10.0,90.909,3.0,5.0,75.0,
17,2017,25.6198,10.0775,,,,,,,,,,,,28.0702,8287.0,,,,,,58.9286,10.0,9.0,90.0,3.0,5.0,90.0,
18,2018,24.3802,7.7519,,,,,,,,,,,,28.0702,8782.0,,,,,,58.9286,9.0,8.0,88.889,3.0,5.0,95.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
