,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,4020.0,,,,,,51.7857,11.0,7.0,63.64,3.0,17.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,3529.0,,,,,,51.7857,11.0,7.0,63.636,3.0,8.0,75.0,
9,2009,16.5289,6.9767,,,,,,,,,,,,3.5088,4597.0,,,,,,51.7857,10.0,7.0,70.0,3.0,11.0,75.0,
10,2010,16.5289,6.9767,,,,,,,,,,,,3.5088,4780.0,,,,,,51.7857,10.0,8.0,80.0,3.0,10.0,75.0,
11,2011,16.5289,6.9767,,,,,,,,,,,,3.5088,4823.0,,,,,,51.7857,10.0,8.0,80.0,3.0,6.0,75.0,
12,2012,21.4876,14.7287,,,,,,1190.0,,,,,,7.0175,4428.0,,,,,,51.7857,11.0,9.0,81.818,3.0,11.0,75.0,
13,2013,29.3388,24.8062,,,,400.0,,1204.3,6359.78,,31.0,,,7.0175,4369.0,,,,,,62.5,10.0,8.0,80.0,3.0,7.0,75.0,
14,2014,29.3388,24.8062,,,,417.987,,1190.39,3891.65,,30.407,,,7.0175,4503.0,,,,,,62.5,9.0,7.0,77.778,3.0,10.0,75.0,
15,2015,30.5785,24.8062,,,,377.475,,1155.99,3704.13,,34.421,,,12.2807,4089.0,,,,,,62.5,9.0,7.0,77.778,3.0,7.0,75.0,
16,2016,33.0579,29.4574,,,,270.676,,1230.44,4562.45,,32.242,,,12.2807,4225.0,,,,,,62.5,10.0,8.0,80.0,3.0,10.0,75.0,
17,2017,38.0165,34.8837,,,,265.886,,1032.95,3501.3,,17.575,,,21.0526,3989.0,,,,,,62.5,10.0,8.0,80.0,3.0,10.0,75.0,
18,2018,40.0826,34.1085,,,,283.724,,1062.41,3378.03,,24.57,,,31.5789,4560.0,39.5,,,,,62.5,10.0,8.0,80.0,3.0,11.0,75.0,
19,2019,,,,,,,,,,,,,,,4008.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
