,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,16.5289,,,,,,,,,,,,,19.2982,4253.0,,,,,,51.7857,11.0,10.0,90.91,3.0,5.0,75.0,
10,2010,17.3554,,,,,,,,,,,,,19.2982,4890.0,,,,,,55.3571,11.0,10.0,90.909,3.0,7.0,75.0,
11,2011,17.3554,,,,,,,,,,,,,19.2982,5401.0,,,,,,55.3571,11.0,10.0,90.91,3.0,5.0,75.0,
12,2012,17.3554,,,,,,,,,,,,,19.2982,6495.0,,,,,,55.3571,11.0,10.0,90.91,3.0,6.0,75.0,
13,2013,17.3554,,,,,,,,,,,,,19.2982,7095.0,,,,,,55.3571,12.0,10.0,83.333,3.0,5.0,75.0,
14,2014,21.4876,8.5271,,,,,,,,,,,,22.807,6550.0,,,,,,50.0,12.0,10.0,83.333,3.0,6.0,,
15,2015,33.0579,23.2558,,,,16.296,,,,,,,,28.0702,7918.0,,,,,,60.7143,12.0,11.0,91.667,3.0,10.0,75.0,
16,2016,35.5372,23.2558,,,,15.558,,,,,,,,38.5965,6314.0,35.0,,,,,60.7143,14.0,13.0,92.857,3.0,9.0,75.0,
17,2017,35.5372,23.2558,,,,16.384,,,,,,,,38.5965,7304.0,35.0,,,,,60.7143,13.0,12.0,92.308,3.0,5.0,75.0,
18,2018,26.8595,13.9535,,,,,,,,,,,,28.0702,8184.0,,,,,,55.3571,12.0,11.0,91.667,3.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,9300.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
