,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,1132.0,,,,,,51.7857,9.0,8.0,88.889,3.0,7.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,1310.0,,,,,,51.7857,9.0,7.0,77.778,3.0,9.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,1422.0,,,,,,51.7857,10.0,8.0,80.0,3.0,10.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,1691.0,,,,,,51.7857,9.0,7.0,77.778,3.0,6.0,75.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,2000.0,,,,,,51.7857,9.0,6.0,66.67,3.0,9.0,100.0,
12,2012,16.5289,,,,,,,,,,,,,19.2982,2200.0,,,,,,51.7857,10.0,7.0,70.0,3.0,7.0,97.9,
13,2013,16.5289,,,,,,,,,,,,,19.2982,1800.0,,,,,,51.7857,9.0,7.0,77.778,3.0,10.0,98.55,
14,2014,17.3554,,,,,,,,,,,,,19.2982,1830.0,,,,,,55.3571,9.0,8.0,88.889,3.0,10.0,95.77,
15,2015,17.3554,,,,,,,,,,,,,19.2982,1950.0,,,,,,55.3571,9.0,8.0,88.889,3.0,7.0,99.11,
16,2016,16.5289,,,,,,,,,,,,,19.2982,2150.0,,,,,,51.7857,9.0,8.0,88.889,3.0,7.0,85.11,
17,2017,15.2893,,,,,,,,,,,,,14.0351,2300.0,,,,,,51.7857,9.0,8.0,88.889,3.0,11.0,97.55,
18,2018,15.2893,,,,,,,,,,,,,14.0351,2500.0,,,,,,51.7857,9.0,8.0,88.889,3.0,7.0,97.44,
19,2019,,,,,,,,,,,,,,,3000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
