,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,53.0,,,,,,51.7857,8.0,7.0,87.5,1.0,13.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,63.0,,,,,,51.7857,8.0,7.0,87.5,1.0,8.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,61.0,,,,,,51.7857,8.0,7.0,87.5,1.0,7.0,75.0,
10,2010,13.6364,,,,,,,,,,,,,3.5088,263.0,,,,,,55.3571,9.0,8.0,88.889,1.0,15.0,75.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,328.0,,,,,,51.7857,13.0,10.0,76.923,1.0,12.0,75.0,
12,2012,14.876,,,,,,,,,,,,,8.7719,439.0,,,,,,55.3571,11.0,8.0,72.73,1.0,9.0,75.0,
13,2013,18.595,2.3256,,,,,,,,,,,,19.2982,465.0,,,,,,55.3571,11.0,8.0,72.727,1.0,11.0,75.0,
14,2014,18.595,2.3256,,,,,,,,,,,,19.2982,479.0,,,,,,55.3571,11.0,9.0,81.818,1.0,7.0,75.0,
15,2015,30.5785,22.4806,,,,631.528,,1323.91,,,,,,19.2982,466.0,,,,,,60.7143,10.0,9.0,90.0,1.0,8.0,75.0,
16,2016,39.6694,39.5349,,,,525.604,,1435.56,6700.28,0.0,83.522,,,19.2982,493.0,,,,,,60.7143,11.0,10.0,90.909,1.0,8.0,75.0,
17,2017,43.3884,37.9845,,,,441.164,,1318.82,6529.44,0.0,77.636,,,28.0702,493.0,48.27,,,,,71.4286,10.0,9.0,90.0,1.0,6.0,75.0,0.025
18,2018,49.5868,45.7364,,,,409.13,,1254.33,6851.51,0.0,72.238,,,43.8596,500.0,48.0,22.22,,,,64.2857,9.0,8.0,88.889,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
