,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,25.5144,9.7561,,,,5811.4,,,,,,,,29.6875,250181.0,43.3,,,0.0,35.6,55.3571,13.0,12.0,92.308,1.0,14.0,78.0,
6,2006,25.1029,9.7561,,,,6051.0,,,,,,,,28.125,232223.0,,,,9.0,69.4,55.3571,15.0,14.0,93.333,1.0,12.0,95.0,
7,2007,25.1029,9.7561,,,,6220.0,,,,,,,,28.125,232891.0,,,,1.0,51.2,55.3571,13.0,12.0,92.308,1.0,11.0,75.0,
8,2008,28.3951,12.1951,,,,6271.0,,,,,,,,35.9375,224366.0,40.5,,,3.0,51.3,55.3571,12.0,11.0,91.667,1.0,11.0,96.0,
9,2009,34.1564,18.6992,,,,6491.01,,,,,,,,45.3125,222927.0,40.4,,,2.0,67.9,55.3571,13.0,12.0,92.308,1.0,9.0,96.0,
10,2010,37.4486,21.1382,,,,6062.6,,,,,,,,50.0,194400.0,39.1,,,1.0,66.8,58.9286,13.0,11.0,84.615,1.0,10.0,98.0,
11,2011,36.6255,23.5772,,,,5642.69,,,,,,,,42.1875,193900.0,38.1,,,,66.0,58.9286,13.0,11.0,84.615,1.0,13.0,97.0,
12,2012,38.6831,27.6423,,,,5855.57,,,,,,,,37.5,183400.0,37.2,,,,55.9,64.2857,12.0,11.0,91.667,1.0,10.0,75.0,1.558
13,2013,39.917699999999996,27.6423,,,,5485.82,,,,,,,,37.5,176800.0,36.6,29.0,,,,69.6429,14.0,13.0,92.857,1.0,19.0,75.0,1.462
14,2014,39.917699999999996,25.2033,,,,5939.1,,,,,,,,42.1875,177300.0,36.1,29.0,,,,69.6429,11.0,10.0,90.909,1.0,11.0,75.0,1.833
15,2015,42.3868,27.6423,,,,5974.86,,,,,,,,42.1875,177700.0,35.7,29.2,,,,75.0,13.0,12.0,92.308,1.0,10.0,75.0,1.223
16,2016,43.2099,29.2683,,,,5632.22,,,,,,,,42.1875,160900.0,35.2,29.6,,,,75.0,13.0,12.0,92.308,1.0,9.0,75.0,1.608
17,2017,44.4444,29.2683,,,,4899.0,,,,,,,,46.875,155400.0,34.1,29.7,,,,75.0,12.0,11.0,91.667,1.0,7.0,75.0,1.6720000000000002
18,2018,40.3292,21.1382,,,,,,,,,,,,46.875,144500.0,34.2,31.3,,,,75.0,12.0,10.0,83.333,1.0,9.0,75.0,1.887
19,2019,,,,,,,,,,,,,,,135000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
