,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,11.9835,,,,,,,,,,,,,8.7719,7295.0,,,,,,42.8571,10.0,8.0,80.0,,10.0,100.0,
9,2009,13.2231,,,,,,,,,,,,,8.7719,5812.0,,,,,,48.2143,10.0,8.0,80.0,3.0,6.0,100.0,
10,2010,11.157,,,,,,,,,,,,,,,,,,,,48.2143,10.0,8.0,80.0,3.0,6.0,98.333,
11,2011,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,8.0,88.889,3.0,8.0,95.833,
12,2012,25.6198,13.1783,,,,,,443.578,378.18,,,,,28.0702,9253.0,,,,,,51.7857,9.0,8.0,88.889,3.0,6.0,98.14,
13,2013,20.6612,6.2016,,,,,,,,,,,,22.807,10234.0,,,,,,51.7857,9.0,8.0,88.889,3.0,8.0,75.0,
14,2014,16.1157,1.5504,,,,,,,,,,,,14.0351,12600.0,,,,,,51.7857,10.0,8.0,80.0,3.0,6.0,75.0,
15,2015,16.1157,1.5504,,,,,,,,,,,,14.0351,13000.0,,,,,,51.7857,10.0,8.0,80.0,3.0,12.0,75.0,
16,2016,16.1157,1.5504,,,,,,,,,,,,14.0351,20000.0,,,,,,51.7857,12.0,10.0,83.333,3.0,10.0,75.0,
17,2017,34.7107,31.7829,74.761,182.372,0.046,,,3961.13,,,,,,21.0526,18000.0,,,,,,55.3571,13.0,10.0,76.923,3.0,12.0,75.0,
18,2018,23.9669,13.1783,,,,,,,,,,,,17.5439,18000.0,,,,,,55.3571,12.0,9.0,75.0,3.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
