,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,8.7719,5000.0,,,,,,46.4286,9.0,8.0,88.89,,5.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,8.7719,5000.0,,,,,,46.4286,9.0,8.0,88.89,,5.0,75.0,
9,2009,16.5289,4.6512,,,,,,,,,,,,14.0351,5200.0,,,,,,46.4286,9.0,8.0,88.89,,5.0,75.0,
10,2010,26.4463,23.2558,,,,33.083,,98.2,,,,,,14.0351,5400.0,,,,,,46.4286,9.0,8.0,88.89,,5.0,75.0,
11,2011,30.1653,23.2558,,,,33.327,,97.64,,,,,,19.2982,5700.0,30.0,,,,,57.1429,9.0,8.0,88.89,,5.0,75.0,
12,2012,17.3554,3.876,,,,,,,,,,,,19.2982,5900.0,,,,,,46.4286,9.0,8.0,88.889,,6.0,75.0,
13,2013,19.4215,3.876,,,,,,,,,,,,19.2982,6000.0,,,,,,55.3571,9.0,8.0,88.889,1.0,7.0,75.0,
14,2014,19.4215,3.876,,,,,,,,,,,,19.2982,6200.0,,,,,,55.3571,9.0,8.0,88.889,1.0,8.0,75.0,
15,2015,30.1653,24.031,,,,33.736,,107.462,,,0.55,,,19.2982,6600.0,,,,,,55.3571,10.0,8.0,80.0,1.0,7.0,75.0,
16,2016,30.1653,24.031,,,,34.489,,112.514,,,0.228,,,19.2982,6900.0,,,,,,55.3571,10.0,8.0,80.0,1.0,7.0,75.0,
17,2017,30.1653,24.031,,,,33.409,,112.254,,,1.12,,,19.2982,7000.0,,,,,,55.3571,9.0,7.0,77.778,1.0,7.0,75.0,
18,2018,19.4215,3.876,,,,,,,,,,,,19.2982,7200.0,,,,,,55.3571,10.0,9.0,90.0,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
