,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,13.8756,,,,,,,,,,,,,3.5088,195000.0,,,,,,48.2143,11.0,9.0,81.818,1.0,7.0,85.0,
7,2007,16.2679,,,,,,,,,,,,,8.7719,226000.0,,,,,4.95,51.7857,10.0,9.0,90.0,1.0,9.0,87.0,
8,2008,14.8325,,,,,,,,,,,,,3.5088,237000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,11.0,86.0,
9,2009,14.8325,,,,,,,,,,,,,3.5088,238000.0,,,,,,51.7857,12.0,9.0,75.0,1.0,17.0,85.0,
10,2010,18.6603,3.125,,,,,,,,,,,,12.2807,244000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,11.0,90.0,
11,2011,18.6603,3.125,,,,,,,,,,,,12.2807,247000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,13.0,80.0,
12,2012,22.9665,12.5,,,,,,,,,,,,12.2807,240000.0,,,,,,51.7857,14.0,11.0,78.571,1.0,9.0,90.0,
13,2013,28.7081,12.5,,,,,,,,,,,,33.3333,248000.0,55.0,,,,,51.7857,13.0,10.0,76.923,1.0,10.0,75.0,
14,2014,28.7081,12.5,,,,,,,,,,,,33.3333,251000.0,65.2,,,,,51.7857,13.0,10.0,76.923,1.0,14.0,85.0,
15,2015,27.2727,15.625,,,,,,,,,,,,22.807,360000.0,,,,,,51.7857,11.0,8.0,72.727,1.0,9.0,75.0,
16,2016,42.1053,38.5417,,,,2142.0,,4686.0,,,549.0,,,33.3333,362000.0,66.0,,,,32.2,57.1429,10.0,7.0,70.0,1.0,12.0,75.0,
17,2017,48.3254,42.7083,,,,2231.0,,4569.0,,,679.0,,,43.8596,348000.0,66.0,,,,28.1,62.5,11.0,9.0,81.818,1.0,9.0,75.0,
18,2018,50.2392,40.625,,,,2009.0,,4498.0,,,670.0,,,49.1228,354000.0,67.0,,,,27.8,67.8571,11.0,9.0,81.818,1.0,7.0,75.0,0.693
19,2019,48.8038,40.625,,,,2034.0,,4676.0,,,694.0,,,43.8596,342000.0,68.0,,,,33.3,67.8571,11.0,9.0,81.818,1.0,10.0,90.0,0.922
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
