,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,17.7686,9.3023,,,,214.238,,,,,,,,3.5088,29572.0,,,,,,51.7857,10.0,7.0,70.0,1.0,17.0,75.0,
8,2008,14.0496,2.3256,,,,,,,,,,,,3.5088,50072.0,,,,,,51.7857,10.0,7.0,70.0,1.0,5.0,75.0,
9,2009,21.9008,10.8527,,,,398.932,,,,,,,,17.5439,45991.0,,,,,,51.7857,10.0,7.0,70.0,1.0,6.0,75.0,
10,2010,29.3388,24.8062,,,,519.048,,,,,,,,17.5439,62500.0,,,,,,51.7857,11.0,10.0,90.909,1.0,5.0,75.0,
11,2011,23.1405,11.6279,,,,,,,,,,,,17.5439,65431.0,,,,,,55.3571,11.0,10.0,90.909,1.0,8.0,75.0,
12,2012,24.3802,13.9535,,,,,,,,,,,,17.5439,103111.0,,,,,,55.3571,10.0,9.0,90.0,1.0,8.0,75.0,
13,2013,31.405,25.5814,,,,1109.1,,,,,,,,21.0526,85777.0,,,,,,55.3571,12.0,10.0,83.333,1.0,5.0,75.0,
14,2014,32.2314,27.1318,,14.389,,1096.22,,,,,,,,21.0526,84072.0,,,,,,55.3571,12.0,11.0,91.667,1.0,7.0,75.0,
15,2015,34.2975,31.0078,,3.453,,962.823,,,,,,,,21.0526,76449.0,,,,,,55.3571,9.0,8.0,88.889,1.0,8.0,75.0,
16,2016,34.2975,31.0078,,2.795,,1059.71,,,,,,,,21.0526,72878.0,,,,,,55.3571,9.0,8.0,88.889,1.0,10.0,75.0,
17,2017,35.124,27.907,,,,1130.79,,2330.5,,,,,,31.5789,68000.0,,,85.0,0.0,,55.3571,8.0,7.0,87.5,1.0,9.0,75.0,
18,2018,39.2562,33.3333,,,,1156.55,,2215.4,,,,0.0,0.0,36.8421,71600.0,,25.7,87.0,0.0,,55.3571,8.0,7.0,87.5,1.0,14.0,75.0,
19,2019,,,,,,,,,,,,,,,61800.0,,,,,,,10.0,9.0,90.0,1.0,7.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
