,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,49.434,39.3103,,,,24436.0,22.544,,,0.433,0.433,0.0,0.0,60.9375,5303.0,30.0,28.0,174.0,0.0,6.682,62.5,10.0,9.0,90.0,1.0,8.0,93.0,0.123
7,2007,49.0566,38.6207,,,,25746.0,17.367,,,0.188,6.726,2.0,3.2,60.9375,4985.0,30.0,24.0,164.0,0.0,7.028,62.5,10.0,9.0,90.0,1.0,6.0,97.0,0.102
8,2008,50.9434,38.6207,,,,23733.0,17.323,,,0.036,9.226,1.0,0.1,60.9375,4947.0,30.0,24.0,138.0,0.0,6.9719999999999995,71.4286,9.0,8.0,88.889,1.0,6.0,92.0,0.133
9,2009,44.9057,35.1724,,,,19976.0,13.259,,,0.073,13.66,0.0,0.0,48.4375,4692.0,30.0,32.0,,,7.9,66.0714,9.0,8.0,88.889,1.0,7.0,94.6,0.094
10,2010,47.1698,35.1724,,,,23024.0,13.494,,,0.113,15.452,,,53.125,4596.0,30.0,30.0,,,,71.4286,9.0,8.0,88.889,1.0,6.0,96.9,0.149
11,2011,45.6604,33.1034,,,,34675.0,19.203,,,0.013,15.588,,,48.4375,4595.0,30.0,,24.0,,,75.0,9.0,8.0,88.889,1.0,6.0,93.7,0.1
12,2012,44.5283,33.1034,,,,29227.0,13.766,,,0.081,22.014,,,43.75,4504.0,29.0,,,,,75.0,9.0,8.0,88.889,1.0,6.0,94.8,0.157
13,2013,45.6604,33.1034,,,,32773.0,15.167,,,0.35,15.471,,,48.4375,4303.0,29.0,,75.0,,,75.0,9.0,8.0,88.889,1.0,6.0,95.6,0.077
14,2014,43.3962,33.1034,,,,35215.0,14.638,,,0.702,13.467,,,48.4375,4248.0,29.0,,54.0,,,64.2857,9.0,8.0,88.889,1.0,10.0,97.5,0.156
15,2015,42.2642,33.1034,,,,35740.0,13.518,,,0.353,20.2,,,43.75,8440.0,26.26,,193.0,,,64.2857,12.0,11.0,91.667,1.0,9.0,98.9,0.138
16,2016,42.2642,31.0345,,,,,11.804,,,0.015,18.926,,,43.75,8170.0,26.0,,163.0,,,69.6429,13.0,11.0,84.615,1.0,8.0,95.0,0.036
17,2017,50.1887,45.5172,29709.801,,,,11.045,102422.0,,0.1,18.353,,,43.75,8135.0,25.0,,225.0,,,69.6429,13.0,11.0,84.615,1.0,9.0,73.5,0.036
18,2018,52.4528,49.6552,26556.0,,,27104.0,10.454,97533.0,,0.216,20.424,,,43.75,7884.0,26.0,,193.0,,,69.6429,14.0,12.0,85.714,1.0,9.0,75.0,0.036
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
