,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,198.0,,,,,,51.7857,10.0,7.0,70.0,3.0,4.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,203.0,,,,,,51.7857,11.0,8.0,72.727,3.0,5.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,217.0,,,,,,51.7857,10.0,8.0,80.0,3.0,4.0,75.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,263.0,,,,,,51.7857,10.0,8.0,80.0,3.0,5.0,75.0,
11,2011,12.8099,,,,,,,,,,,,,3.5088,308.0,,,,,,51.7857,11.0,9.0,81.818,1.0,6.0,75.0,
12,2012,37.6033,28.6822,,,,124.037,,242.465,1443.06,,,,,28.0702,366.0,53.0,70.0,,,,67.8571,10.0,8.0,80.0,1.0,10.0,75.0,
13,2013,37.1901,30.2326,,,,151.907,,255.779,907.972,,,,,22.807,404.0,52.0,74.0,,,,67.8571,11.0,10.0,90.909,1.0,6.0,75.0,
14,2014,42.562,38.7597,,,,162.269,,301.833,1070.56,,19.87,0.0,0.0,36.8421,428.0,49.0,76.0,,,,57.1429,11.0,10.0,90.909,1.0,5.0,,0.0
15,2015,42.1488,37.9845,,,,175.864,,351.019,1209.99,,38.584,0.0,0.0,31.5789,476.0,47.0,,,,,62.5,9.0,8.0,88.889,1.0,4.0,75.0,0.0
16,2016,46.6942,43.4109,,,,174.043,,367.047,1276.05,,36.132,0.0,0.0,38.5965,477.0,46.38,,,0.0,1.6139999999999999,62.5,10.0,9.0,90.0,1.0,6.0,75.0,0.0
17,2017,51.6529,44.9612,,,,179.488,,383.471,1207.77,,39.417,0.0,0.0,43.8596,428.0,49.53,25.0,,0.0,0.8,75.0,11.0,10.0,90.909,1.0,5.0,75.0,0.0
18,2018,51.6529,42.6357,,,,134.605,,300.094,1111.48,,41.076,0.0,0.0,49.1228,401.0,49.74,23.0,,0.0,0.677,75.0,12.0,11.0,91.667,1.0,9.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,443.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
