,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,21.0526,,,,,,,,,,,,,26.6667,153000.0,62.0,,,,95.0,57.1429,14.0,13.0,92.857,1.0,8.0,97.0,
6,2006,23.2456,7.1429,,,,,,,,,,,,26.6667,158000.0,61.0,41.0,,,102.7,51.7857,16.0,14.0,87.5,1.0,8.0,95.0,
7,2007,22.3684,5.3571,,,,,,,,,,,,26.6667,159800.0,60.0,42.0,,,371.0,51.7857,16.0,14.0,87.5,1.0,7.0,97.0,
8,2008,28.947400000000002,23.2143,,,,1848.74,,3636.0,,,,,,13.3333,158900.0,,,,,350.0,57.1429,15.0,13.0,86.667,1.0,15.0,96.0,
9,2009,42.1053,37.5,,,,1707.04,,3467.95,,,122.262,0.0,0.0,26.6667,267300.0,59.8,28.2,,,202.0,67.8571,16.0,15.0,93.75,1.0,15.0,75.0,
10,2010,42.5439,43.75,,103.984,0.032,1604.29,,3255.54,,,145.577,0.0,0.0,26.6667,272200.0,58.0,30.0,,,219.0,57.1429,15.0,14.0,93.333,1.0,8.0,97.0,
11,2011,41.6667,40.1786,,,,1601.05,,3198.2,,,143.127,0.0,0.0,26.6667,264200.0,59.0,30.0,,,213.5,60.7143,16.0,15.0,93.75,1.0,13.0,98.0,
12,2012,48.2456,48.2143,,,,1427.28,,2963.73,14912.8,,122.903,0.0,0.0,36.6667,265000.0,59.0,,,,315.8,60.7143,14.0,13.0,92.857,1.0,9.0,96.0,
13,2013,48.2456,50.8929,,,,1363.95,,2879.41,13273.5,,112.134,0.0,0.0,31.6667,264900.0,58.0,,,,,60.7143,15.0,14.0,93.333,1.0,9.0,75.0,
14,2014,46.4912,50.8929,,,,1326.73,,2790.37,11547.3,,117.489,0.0,0.0,26.6667,264500.0,,,,,,58.9286,14.0,13.0,92.857,1.0,9.0,75.0,
15,2015,51.7544,53.5714,,,,1285.89,,2689.28,10544.8,,108.538,0.0,0.0,41.6667,265000.0,56.0,27.0,,,,58.9286,16.0,15.0,93.75,1.0,9.0,75.0,
16,2016,50.4386,50.0,72.969,,,1060.6,,2551.89,9096.12,,94.899,,,31.6667,280299.0,56.2,,,,,71.4286,15.0,14.0,93.333,1.0,14.0,75.0,
17,2017,56.5789,55.3571,73.363,,,934.35,,4216.1,8243.15,,90.194,0.0,0.0,41.6667,273632.0,55.9,,,,,75.0,16.0,15.0,93.75,1.0,14.0,98.67,
18,2018,58.3333,55.3571,77.599,,,928.52,,2315.49,8154.83,,80.718,0.0,0.0,48.3333,271797.0,55.7,,,,,75.0,12.0,11.0,91.667,1.0,15.0,97.23,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
