,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,22.314,15.5039,,,,755.301,,,,8.311,329.642,,,8.7719,66000.0,,,,0.0,,51.7857,13.0,10.0,76.923,3.0,16.0,75.0,
6,2006,27.2727,22.4806,,,,907.657,,2757.22,9833.1,7.899,396.092,,,14.0351,73000.0,,,,0.0,,51.7857,14.0,11.0,78.571,3.0,8.0,75.0,
7,2007,27.2727,22.4806,,,,905.623,,2782.78,9259.76,8.547,399.767,,,14.0351,73000.0,,,,2.0,,51.7857,12.0,10.0,83.333,3.0,6.0,75.0,
8,2008,39.6694,32.5581,,,,866.334,0.155,2681.11,8196.28,7.7780000000000005,385.086,0.0,0.0,38.5965,69612.0,13.5,18.0,,0.0,,57.1429,12.0,10.0,83.333,3.0,7.0,75.0,
9,2009,45.0413,40.3101,,,,819.654,0.126,2413.45,7804.29,6.586,378.629,,,43.8596,67000.0,13.5,18.0,,0.0,,57.1429,12.0,10.0,83.333,3.0,10.0,74.91,
10,2010,47.9339,43.4109,,,,825.761,0.088,1341.62,8066.36,,448.905,,,49.1228,71000.0,35.0,16.0,,0.0,30.4,57.1429,14.0,12.0,85.714,3.0,7.0,75.0,
11,2011,33.0579,24.8062,,,,760.043,,2548.25,6961.23,,369.256,,,33.3333,68000.0,,,,,24.8,51.7857,12.0,10.0,83.333,1.0,9.0,75.0,
12,2012,33.0579,27.1318,,,,862.912,,2425.97,6355.0,,390.311,,,28.0702,68000.0,,,,,,51.7857,12.0,10.0,83.333,1.0,7.0,75.0,
13,2013,29.7521,23.2558,,,,714.825,,2146.57,6036.0,,392.834,,,22.807,69000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,8.0,75.0,
14,2014,32.2314,27.907,,,,774.921,,2356.74,5651.0,,401.87,,,22.807,100000.0,,,,,,51.7857,12.0,10.0,83.333,1.0,8.0,75.0,
15,2015,33.8843,28.6822,,,,867.325,,2428.8,5962.08,,337.295,,,22.807,97000.0,,,,,,57.1429,12.0,9.0,75.0,1.0,7.0,75.0,
16,2016,33.0579,26.3566,,,,825.163,,2355.3,5693.66,,368.171,,,24.5614,93000.0,,,,,,57.1429,12.0,10.0,83.333,1.0,6.0,75.0,
17,2017,35.5372,31.0078,,,,788.295,,2316.76,5818.86,,389.571,,,24.5614,92000.0,,,,,,57.1429,14.0,12.0,85.714,1.0,6.0,75.0,
18,2018,45.0413,42.6357,,,,753.572,,2239.04,5473.87,7.877,363.271,0.0,0.0,38.5965,91870.0,39.0,,,,107.0,57.1429,14.0,12.0,85.714,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
