,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,13000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,6.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,20000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,17000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,7.0,75.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,17000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,9.0,75.0,
11,2011,12.8099,,,,,,,,,,,,,3.5088,17000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,7.0,75.0,
12,2012,14.0496,,,,,,,,,,,,,8.7719,17500.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
13,2013,15.2893,,,,,,,,,,,,,14.0351,18000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,9.0,75.0,
14,2014,15.2893,,,,,,,,,,,,,14.0351,18400.0,,,,,,51.7857,12.0,11.0,91.667,1.0,8.0,75.0,
15,2015,15.2893,,,,,,,,,,,,,14.0351,23700.0,,,,,,51.7857,12.0,11.0,91.667,1.0,11.0,75.0,
16,2016,15.2893,,,,,,,,,,,,,14.0351,41500.0,,,,,,51.7857,11.0,10.0,90.909,1.0,7.0,75.0,
17,2017,15.2893,,,,,,,,,,,,,14.0351,43000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,4.0,75.0,
18,2018,20.2479,,,,,,,,,,,,,35.0877,43300.0,51.0,35.71,,,,51.7857,10.0,9.0,90.0,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
