,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,14.4628,0.7752,,,,,,,,,,,,8.7719,48000.0,,,,,,51.7857,9.0,8.0,88.889,1.0,9.0,75.0,
7,2007,28.0992,12.4031,,,,,,,,,,,,35.0877,47400.0,17.0,,,,11.324,57.1429,9.0,8.0,88.889,1.0,7.0,75.0,
8,2008,28.0992,17.0543,,,,,,,,,,,,24.5614,45900.0,,,,,14.486,57.1429,8.0,7.0,87.5,1.0,12.0,75.0,
9,2009,35.5372,24.031,,,,23664.699,,,,,,,,35.0877,43400.0,17.0,,,,12.862,62.5,8.0,7.0,87.5,1.0,8.0,75.0,
10,2010,32.6446,23.2558,,,,24732.801,,,,,,,,24.5614,42800.0,,,,,13.332,62.5,8.0,7.0,87.5,1.0,8.0,75.0,
11,2011,34.7107,24.8062,,,,18710.5,,,,,,,,40.3509,44300.0,18.0,,,,13.983,51.7857,9.0,8.0,88.889,1.0,8.0,75.0,
12,2012,28.5124,20.155,,,,19556.9,,,,,,,,24.5614,43500.0,,,,,15.098,51.7857,8.0,7.0,87.5,1.0,8.0,75.0,
13,2013,35.9504,20.155,,,,19763.699,,,,,,,,45.614,42700.0,17.0,,,,13.98,62.5,8.0,7.0,87.5,1.0,8.0,75.0,
14,2014,28.5124,20.155,,,,19460.1,,,,,,,,29.8246,39800.0,,,,,13.5,46.4286,8.0,7.0,87.5,1.0,7.0,,
15,2015,43.8017,30.2326,,,,16502.0,,,,,,88.0,,57.8947,40600.0,17.0,,,,11.96,60.7143,10.0,9.0,90.0,1.0,7.0,75.0,
16,2016,39.6694,31.7829,,,,15882.0,,,,,2.966,4.0,,36.8421,41200.0,,,,,13.67,60.7143,11.0,9.0,81.818,1.0,10.0,75.0,
17,2017,59.5041,53.4884,2005.21,,,15934.8,,8105.9,,,3.164,1.0,,66.6667,42300.0,17.0,17.46,,,17.16,66.0714,9.0,8.0,88.889,1.0,9.0,75.0,
18,2018,52.0661,52.7132,1664.09,,,16518.199,,6544.44,,,4.032,,,36.8421,43700.0,,,,,14.93,66.0714,8.0,7.0,87.5,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,44900.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
