,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,35.6846,20.6612,,16873.5,,17887.0,,,,,,22.0,,40.625,4349.0,27.5,,,0.0,10.0,62.5,13.0,12.0,92.308,3.0,13.0,85.0,0.161
8,2008,36.0996,19.0083,,,,18980.0,,,,,,32.0,0.602,40.625,4619.0,,,,0.0,11.8,67.8571,13.0,12.0,92.308,3.0,14.0,75.0,0.306
9,2009,31.9502,23.9669,,,,16704.1,,,,,,2.0,1.0,20.3125,4786.0,,,,,6.5,62.5,12.0,11.0,91.667,3.0,9.0,75.0,0.027
10,2010,26.556,10.7438,,,,,,,,,,,,25.0,5022.0,,,,,,62.5,13.0,12.0,92.308,3.0,11.0,75.0,0.15
11,2011,19.5021,8.2645,,,,,,,,,,,,12.5,4293.0,,,,,,51.7857,12.0,11.0,91.667,1.0,14.0,75.0,
12,2012,19.5021,8.2645,,,,,,,,,,,,12.5,4639.0,,,,,,51.7857,10.0,9.0,90.0,1.0,13.0,75.0,
13,2013,21.5768,8.2645,,,,,,,,,,,,17.1875,4909.0,,,,,,55.3571,11.0,10.0,90.909,1.0,12.0,75.0,
14,2014,32.7801,13.2231,8870.0,,,,33.582,,,,,,0.784,50.0,6742.0,25.0,,,0.0,9.2,55.3571,13.0,12.0,92.308,1.0,16.0,75.0,
15,2015,34.8548,14.876,9930.0,,,,31.372,,,,,,0.172,50.0,6578.0,24.0,,,0.0,11.2,60.7143,13.0,12.0,92.308,1.0,43.0,75.0,0.082
16,2016,38.5892,22.314,11220.0,,,,29.408,,,,,,0.639,50.0,5604.0,22.0,,,1.0,10.1,60.7143,11.0,10.0,90.909,1.0,43.0,75.0,0.106
17,2017,39.4191,22.314,10130.0,,,,30.696,,,,,,0.3,50.0,5425.0,21.0,,,0.0,9.5,64.2857,11.0,10.0,90.909,1.0,8.0,75.0,0.046
18,2018,51.0373,38.843,8640.0,,,11576.0,29.756,46535.699,,,,,0.351,57.8125,5337.0,21.0,,,0.0,9.4,69.6429,12.0,11.0,91.667,1.0,10.0,75.0,0.752
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
