,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,15.311,3.125,,,,18900.0,,,,,,,,3.5088,1800000.0,,,,,,48.2143,13.0,10.0,76.923,1.0,7.0,75.0,
7,2007,23.9234,13.5417,,,,19300.0,,,,,,,,14.0351,1900000.0,,,,,,51.7857,15.0,11.0,73.333,1.0,8.0,75.0,
8,2008,25.3589,16.6667,,,,20100.0,,,,,,,,14.0351,2100000.0,,,,,,51.7857,14.0,9.0,64.286,1.0,6.0,75.0,
9,2009,27.7512,19.7917,,,,20800.0,,,,,,,,14.0351,2100000.0,,,,,,55.3571,16.0,10.0,62.5,1.0,7.0,75.0,
10,2010,29.6651,21.875,,,,20300.0,,,,,,,,17.5439,2100000.0,,,,,,55.3571,15.0,10.0,66.667,1.0,5.0,75.0,
11,2011,32.5359,28.125,,,,20600.0,,,,5.306,,,,17.5439,2100000.0,,,,,,55.3571,15.0,10.0,66.667,1.0,7.0,75.0,
12,2012,36.3636,30.2083,,,,20800.0,,,,4.308,,,,17.5439,2200000.0,,,,,,66.0714,15.0,10.0,66.667,1.0,4.0,75.0,
13,2013,35.8852,29.1667,,,,21200.0,,,,3.7640000000000002,,,,17.5439,2200000.0,,,,,,66.0714,17.0,12.0,70.588,1.0,6.0,97.0,
14,2014,34.9282,27.0833,,,,21000.0,,,,,,,,17.5439,2200000.0,,,,,,66.0714,16.0,10.0,62.5,1.0,6.0,97.0,
15,2015,37.799,30.2083,,,,21880.0,,,,,,,,28.0702,2200000.0,57.0,,,,,60.7143,16.0,11.0,68.75,1.0,5.0,98.0,
16,2016,36.8421,28.125,,,,21040.0,,,,,,,,28.0702,2300000.0,56.0,,,,,60.7143,15.0,10.0,66.667,1.0,6.0,98.0,
17,2017,35.4067,28.125,,,,20730.0,,,,,,,,22.807,2300000.0,,,,,1100.0,60.7143,12.0,7.0,58.333,1.0,5.0,98.0,
18,2018,40.6699,28.125,,,,18680.0,,,,,,,,38.5965,2300000.0,54.86,30.0,,,1500.0,64.2857,11.0,7.0,63.636,1.0,5.0,97.0,
19,2019,33.4928,18.75,,,,,,,,,,,,28.0702,2200000.0,,,,,1400.0,64.2857,11.0,7.0,63.636,1.0,6.0,95.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
