,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.2807,,,,,,,,,,,,,3.3333,5494.0,,,,,,46.4286,10.0,8.0,80.0,,5.0,75.0,
8,2008,12.2807,,,,,,,,,,,,,3.3333,5768.0,,,,,,46.4286,9.0,7.0,77.78,,5.0,75.0,
9,2009,13.1579,1.7856999999999998,,,,,,,,,,,,3.3333,6072.0,,,,,,46.4286,9.0,7.0,77.78,,4.0,75.0,
10,2010,14.473700000000001,1.7856999999999998,,,,,,,,,,,,3.3333,6253.0,,,,,,51.7857,9.0,7.0,77.78,3.0,6.0,75.0,
11,2011,14.473700000000001,1.7856999999999998,,,,,,,,,,,,3.3333,6642.0,,,,,,51.7857,9.0,7.0,77.78,3.0,4.0,75.0,
12,2012,14.473700000000001,1.7856999999999998,,,,,,,,,,,,3.3333,7412.0,,,,,,51.7857,9.0,7.0,77.778,3.0,7.0,75.0,
13,2013,14.473700000000001,1.7856999999999998,,,,,,,,,,,,3.3333,7247.0,,,,,,51.7857,9.0,7.0,77.778,3.0,5.0,75.0,
14,2014,17.1053,1.7856999999999998,,,,,,,,,,,,13.3333,7521.0,,,,,,51.7857,9.0,7.0,77.778,3.0,6.0,75.0,
15,2015,17.1053,1.7856999999999998,,,,,,,,,,,,13.3333,7621.0,,,,,,51.7857,9.0,7.0,77.778,3.0,4.0,100.0,
16,2016,23.6842,15.1786,,,,1.387,,6.914,,,,,,13.3333,7683.0,,,,,,51.7857,9.0,7.0,77.778,3.0,4.0,100.0,
17,2017,27.6316,25.0,,,,1.369,,6.757,,,,,,13.3333,7722.0,,,,,,48.2143,9.0,7.0,77.778,3.0,5.0,83.0,
18,2018,33.3333,34.8214,,,,1.504,,7.458,,,,,,13.3333,7448.0,,,,,,51.7857,10.0,8.0,80.0,3.0,5.0,80.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
