,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.876,,,,,,,,,,,,,8.7719,9300.0,,,,,,55.3571,11.0,10.0,90.91,3.0,7.0,75.0,
8,2008,14.876,,,,,,,,,,,,,8.7719,10700.0,,,,,,55.3571,12.0,10.0,83.333,3.0,8.0,75.0,
9,2009,15.7025,1.5504,,,,,,,,,,,,8.7719,10300.0,,,,,,55.3571,12.0,10.0,83.333,3.0,4.0,75.0,
10,2010,15.7025,1.5504,,,,,,,,,,,,8.7719,10400.0,,,,,,55.3571,12.0,10.0,83.333,3.0,5.0,75.0,
11,2011,21.9008,10.8527,,,,,,,,,,,,14.0351,26600.0,,,,,,55.3571,13.0,12.0,92.31,3.0,11.0,75.0,
12,2012,27.2727,19.3798,,,,5002.52,,5047.04,,,,,,17.5439,26300.0,,,,,,55.3571,12.0,11.0,91.667,3.0,5.0,75.0,
13,2013,26.0331,17.0543,,,,5099.13,,4764.99,,,,,,17.5439,25800.0,,,,,,55.3571,11.0,10.0,90.909,3.0,13.0,75.0,
14,2014,30.9917,24.031,,,,4952.37,,3901.63,,,,,,17.5439,26600.0,,,,,,60.7143,10.0,9.0,90.0,3.0,8.0,75.0,
15,2015,17.3554,4.6512,,,,,,,,,,,,8.7719,41400.0,,,,,,55.3571,14.0,12.0,85.714,1.0,5.0,75.0,
16,2016,26.4463,11.6279,,,,,,,,,,,,26.3158,39000.0,,,,,,60.7143,14.0,12.0,85.714,1.0,8.0,75.0,
17,2017,28.5124,13.9535,,,,,,,,,,,,31.5789,44800.0,,,,0.0,,58.9286,12.0,10.0,83.333,1.0,8.0,75.0,
18,2018,30.5785,15.5039,,,,,,,,,,,,31.5789,45100.0,,,,0.0,,64.2857,13.0,11.0,84.615,1.0,10.0,95.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,13.0,11.0,84.615,1.0,6.0,96.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
