,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,6100.0,,,,,,51.7857,9.0,8.0,88.889,3.0,6.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,5900.0,,,,,,51.7857,9.0,8.0,88.889,3.0,7.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,6800.0,,,,,,51.7857,10.0,9.0,90.0,3.0,9.0,75.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,7000.0,,,,,,51.7857,10.0,9.0,90.0,3.0,6.0,75.0,
11,2011,16.1157,6.2016,,,,,,12.697,,,,,,3.5088,8000.0,,,,,,51.7857,9.0,8.0,88.889,3.0,10.0,75.0,
12,2012,21.0744,6.2016,,,,,,13.755,,,,,,19.2982,9000.0,,,,,,57.1429,10.0,9.0,90.0,3.0,9.0,75.0,0.014
13,2013,26.8595,13.1783,,,,,,13.044,,,,,,22.807,10000.0,,,,,,62.5,11.0,10.0,90.909,1.0,8.0,75.0,0.012
14,2014,21.0744,6.9767,,,,,,,,,,,,19.2982,10000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,8.0,75.0,
15,2015,21.0744,6.9767,,,,,,,,,,,,19.2982,10000.0,,,,,,55.3571,12.0,11.0,91.667,1.0,8.0,75.0,
16,2016,21.0744,6.9767,,,,,,,,,,,,19.2982,10700.0,,,,,,55.3571,11.0,10.0,90.909,1.0,8.0,75.0,
17,2017,19.8347,4.6512,,,,,,,,,,,,19.2982,11500.0,,,,,,55.3571,10.0,9.0,90.0,1.0,11.0,75.0,
18,2018,23.9669,7.7519,,,,,,,,,,,,29.8246,12000.0,49.2,31.0,,,,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,11500.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
