,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,37.1901,25.5814,,,,3800.0,,,,,,,0.397,33.3333,44208.0,,,,0.0,7.2,67.8571,12.0,11.0,91.667,3.0,8.0,75.0,0.398
7,2007,33.8843,24.031,,,,3300.0,,,,,,,0.024,33.3333,37857.0,,,,0.0,9.7,57.1429,12.0,11.0,91.667,3.0,10.0,75.0,
8,2008,41.3223,33.3333,,,,3000.0,,,213371.0,,,,0.131,38.5965,19843.0,,,,1.0,3.1,62.5,13.0,12.0,92.308,3.0,8.0,75.0,1.2349999999999999
9,2009,62.3967,59.6899,,,,2480.0,7.346,31378.0,210123.0,0.16,5695.74,29.0,0.08,68.4211,14888.0,28.27,22.4,,0.0,1.1,62.5,12.0,11.0,91.667,3.0,9.0,75.0,
10,2010,63.6364,62.0155,,,,2630.0,7.423,34305.699,197808.0,0.1,6401.95,34.0,0.035,68.4211,14250.0,20.0,25.0,,1.0,1.3,62.5,11.0,10.0,90.909,3.0,8.0,75.0,
11,2011,63.2231,63.5659,1157.74,,,2600.0,7.454,35519.602,191286.0,0.047,6680.98,32.0,0.127,68.4211,12800.0,20.0,23.5,,0.0,3.5,57.1429,10.0,9.0,90.0,1.0,6.0,75.0,
12,2012,64.0496,63.5659,1181.11,,,2670.0,7.7940000000000005,37060.199,193606.0,0.079,6784.1,3.0,0.044,71.9298,13200.0,20.0,23.5,,0.0,3.9,57.1429,11.0,10.0,90.909,1.0,9.0,75.0,
13,2013,58.2645,58.9147,,,,2670.0,7.755,34849.898,198891.0,0.091,9454.88,28.0,0.021,52.6316,13700.0,20.0,,,0.0,4.9,62.5,10.0,9.0,90.0,1.0,10.0,75.0,0.538
14,2014,57.438,57.3643,,,,2800.0,7.664,35375.0,195802.0,0.091,9895.24,6.0,0.113,52.6316,12676.0,18.0,,,2.0,5.3,62.5,10.0,9.0,90.0,1.0,9.0,75.0,0.565
15,2015,56.6116,55.814,,,,2660.0,7.664,9731.99,2596.91,0.499,9918.82,10.0,0.049,52.6316,12566.0,18.0,,,0.0,5.6,62.5,10.0,9.0,90.0,1.0,6.0,75.0,0.41
16,2016,56.6116,55.814,,,,1280.0,2.721,9809.9,2388.7,3.628,5044.9,8.0,0.03,52.6316,10422.0,17.0,,,0.0,4.1,62.5,13.0,11.0,84.615,1.0,7.0,75.0,0.694
17,2017,58.2645,55.814,,,,1330.0,2.63,10046.9,2335.71,0.045,5332.43,8.0,0.425,52.6316,9315.0,17.0,,,0.0,3.2,69.6429,11.0,9.0,81.818,1.0,5.0,75.0,0.209
18,2018,59.5041,55.814,,,,1130.0,2.358,9328.62,2294.06,5.397,5482.99,5.0,0.0,57.8947,9364.0,17.0,27.0,,1.0,5.3,69.6429,11.0,10.0,90.909,1.0,4.0,75.0,0.001
19,2019,,,,,,,,,,,,,,,9400.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
