,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,14.0496,,,,,,,,,,,,,8.7719,15500.0,,,,,,51.7857,10.0,6.0,60.0,3.0,4.0,75.0,
7,2007,14.0496,,,,,,,,,,,,,8.7719,16500.0,,,,,,51.7857,10.0,7.0,70.0,3.0,7.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,20600.0,,,,,,51.7857,11.0,7.0,63.636,3.0,8.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,18900.0,,,,,,51.7857,11.0,7.0,63.636,3.0,7.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,16405.0,,,,,,51.7857,12.0,7.0,58.333,3.0,7.0,75.0,
11,2011,16.5289,,,,,,,,,,,,,14.0351,16400.0,,,,,,57.1429,12.0,7.0,58.333,3.0,8.0,75.0,0.0
12,2012,15.2893,,,,,,,,,,,,,14.0351,16000.0,,,,,,51.7857,8.0,6.0,75.0,3.0,3.0,75.0,
13,2013,15.2893,,,,,,,,,,,,,14.0351,16500.0,,,,,,51.7857,8.0,6.0,75.0,3.0,7.0,75.0,
14,2014,22.7273,6.9767,,,,,,,,,,,,29.8246,20572.0,34.0,46.0,,,,51.7857,8.0,6.0,75.0,3.0,9.0,75.0,
15,2015,23.9669,9.3023,,,,,,509.889,,,,,,29.8246,20800.0,47.0,,,,,51.7857,9.0,7.0,77.778,3.0,10.0,75.0,
16,2016,29.3388,16.2791,,,,,,499.0,,,,,,36.8421,23595.0,33.9,,,,,51.7857,10.0,8.0,80.0,3.0,12.0,75.0,
17,2017,33.4711,17.8295,,,,,,670.333,,,,,,42.1053,25001.0,48.53,,,,24.0,60.7143,10.0,8.0,80.0,3.0,10.0,75.0,
18,2018,30.9917,10.8527,,,,,,,,,,,,47.3684,25990.0,48.63,,,,17.0,60.7143,10.0,9.0,90.0,3.0,30.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
