,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,20.3774,13.7931,,90100.0,,,105.626,,,0.047,12.615,,,7.8125,9735.0,,,,,,51.7857,13.0,12.0,92.308,1.0,7.0,96.364,
7,2007,32.8302,28.2759,60690.602,82735.203,,,95.444,,147638.0,2.005,,6.0,0.005,23.4375,11987.0,,,,,,55.3571,13.0,12.0,92.308,1.0,6.0,75.0,
8,2008,36.2264,33.7931,60327.699,78652.898,,,80.914,,147411.0,0.635,2362.27,3.0,0.019,20.3125,12252.0,,,,,,60.7143,12.0,11.0,91.667,1.0,7.0,75.0,
9,2009,40.0,39.3103,54454.5,73181.797,,,60.268,,130262.0,1.155,2259.93,6.0,0.095,20.3125,11351.0,,,,,,64.2857,13.0,11.0,84.615,1.0,7.0,75.0,
10,2010,42.6415,44.1379,55973.301,72756.203,,,62.52,,144117.0,0.821,2189.33,9.0,0.01,20.3125,11290.0,,,,,,64.2857,10.0,9.0,90.0,1.0,6.0,100.0,
11,2011,38.1132,35.8621,54249.602,71123.203,,,56.098,,,1.5939999999999999,1992.67,,,20.3125,11942.0,,,,,,64.2857,10.0,9.0,90.0,1.0,7.0,90.0,
12,2012,41.5094,40.6897,53251.699,66405.898,,,50.328,,,2.5380000000000003,1550.16,9.0,0.033,23.4375,11198.0,,,,0.0,,64.2857,12.0,11.0,91.667,1.0,6.0,90.0,
13,2013,49.0566,48.9655,51981.602,65317.199,,53850.102,49.092,,,0.969,1759.57,5.0,0.008,35.9375,11581.0,,,,1.0,,64.2857,12.0,11.0,91.667,1.0,6.0,90.0,
14,2014,53.5849,48.9655,52363.602,64000.0,,53584.5,44.838,,,0.643,1910.64,5.0,0.007,50.0,11691.0,22.9,,,0.0,,69.6429,11.0,10.0,90.909,1.0,6.0,98.0,
15,2015,55.4717,50.3448,51618.801,61325.602,,53202.102,36.101,,,2.462,1834.27,2.0,0.0,54.6875,12338.0,23.0,,111.0,0.0,,69.6429,12.0,11.0,91.667,1.0,6.0,98.0,
16,2016,56.6038,50.3448,48080.801,57080.801,,49364.199,30.5,,,1.063,1747.6,4.0,0.025,59.375,12009.0,21.6,,121.0,0.0,,69.6429,11.0,10.0,90.909,1.0,6.0,97.0,
17,2017,55.8491,48.9655,,,,48347.5,26.842,,,1.025,1680.18,7.0,0.015,59.375,11716.0,22.8,,102.0,0.0,,69.6429,13.0,12.0,92.308,1.0,6.0,99.0,
18,2018,61.5094,55.8621,46596.801,,,47946.0,,179760.0,,1.206,1979.9,5.0,0.0,62.5,11691.0,22.9,,112.0,0.0,,75.0,13.0,12.0,92.308,1.0,7.0,97.4,0.301
19,2019,,,,,,,,,,,,,,,11273.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
