,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,19.0083,4.6512,,,,,,,,,,,,19.2982,3050.0,,,,,,51.7857,9.0,7.0,77.78,1.0,6.0,75.0,
6,2006,19.0083,4.6512,,,,,,,,,,,,19.2982,3295.0,,,,,,51.7857,7.0,7.0,100.0,1.0,6.0,75.0,
7,2007,14.0496,,,,,,,,,,,,,8.7719,3353.0,,,,,,51.7857,8.0,7.0,87.5,1.0,11.0,75.0,
8,2008,17.7686,6.9767,,,,34.127,,,,,,,,8.7719,3415.0,,,,,,51.7857,9.0,7.0,77.778,1.0,18.0,75.0,
9,2009,,,,,,,,,,,,,,,3145.0,,,,,,,8.0,7.0,87.5,1.0,6.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,2948.0,,,,,,51.7857,8.0,8.0,100.0,1.0,11.0,75.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,3099.0,,,,,,51.7857,9.0,8.0,88.889,1.0,10.0,75.0,
12,2012,,,,,,,,,,,,,,,3265.0,,,,,,,9.0,8.0,88.889,1.0,10.0,75.0,
13,2013,20.2479,4.6512,,,,,,,,,,,,24.5614,3329.0,,,,,,51.7857,8.0,7.0,87.5,1.0,6.0,75.0,
14,2014,26.0331,13.9535,,,,,,,,,,,,28.0702,3500.0,,,,,,51.7857,8.0,7.0,87.5,1.0,4.0,75.0,
15,2015,30.9917,20.9302,,,,,,,,,,,,28.0702,3451.0,,,,,,57.1429,8.0,7.0,87.5,1.0,7.0,75.0,
16,2016,31.8182,20.155,,,,,,62.94,,,,,,33.3333,3459.0,,,,,0.041,57.1429,8.0,7.0,87.5,1.0,6.0,75.0,
17,2017,39.6694,32.5581,,,,27.294,,61.657,115.0,,,0.0,0.0,38.5965,3800.0,,,9.0,,,57.1429,9.0,8.0,88.889,1.0,8.0,75.0,
18,2018,30.9917,16.2791,,,,,,,,,,,,38.5965,4196.0,22.7,14.8,,,,57.1429,10.0,9.0,90.0,1.0,6.0,75.0,
19,2019,39.6694,32.5581,,,,24.766,,59.762,112.0,,,0.0,0.0,38.5965,4630.0,22.6,14.8,,0.0,,57.1429,11.0,10.0,90.909,1.0,12.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
