,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,49.3776,41.3223,,,,,164.0,418950.0,,297.0,,,3.2,48.4375,84000.0,23.0,11.0,,3.0,,67.8571,12.0,10.0,83.333,1.0,12.0,93.0,0.34
6,2006,49.3776,41.3223,,,,,161.0,433650.0,,246.0,,,12.8,48.4375,82000.0,24.0,12.0,,3.0,,67.8571,12.0,10.0,83.333,1.0,9.0,96.0,0.41
7,2007,50.6224,43.8017,,,,,160.0,430556.0,,168.0,,,3.8,48.4375,80800.0,25.0,12.0,,0.0,,67.8571,12.0,10.0,83.333,1.0,10.0,97.0,0.13
8,2008,51.4523,43.8017,,,,,150.0,416667.0,,400.0,,,13.0,48.4375,79900.0,25.0,12.0,,0.0,,71.4286,11.0,10.0,90.909,1.0,10.0,96.0,0.45
9,2009,54.7718,50.4132,,,,143000.0,130.0,405639.0,,800.0,,,5.1,48.4375,80700.0,26.0,13.0,,4.0,,71.4286,10.0,9.0,90.0,1.0,11.0,94.0,0.49
10,2010,55.6017,52.0661,,,,147000.0,120.0,408333.0,,1300.0,,83.0,11.0,48.4375,83600.0,26.0,14.0,,0.0,,71.4286,11.0,10.0,90.909,1.0,9.0,94.0,1.1
11,2011,55.6017,52.0661,,,,150000.0,140.0,430556.0,,1900.0,,65.0,1.3,48.4375,82100.0,28.0,18.0,,0.0,,71.4286,11.0,10.0,90.909,1.0,10.0,97.0,0.51
12,2012,56.0166,52.8926,,,,146000.0,140.0,416667.0,,2000.0,,80.0,2.36,48.4375,76900.0,28.0,15.0,,1.0,,71.4286,12.0,11.0,91.667,1.0,10.0,93.0,1.03
13,2013,56.8465,52.8926,,,,143000.0,150.0,416667.0,,300.0,,74.0,2.0,48.4375,75000.0,28.0,16.0,,0.0,,75.0,12.0,11.0,91.667,1.0,11.0,95.0,0.7
14,2014,56.8465,52.8926,,,,129000.0,140.0,444444.0,,300.0,,74.0,15.0,48.4375,75300.0,28.0,17.0,,0.0,,75.0,12.0,11.0,91.667,1.0,10.0,95.0,1.17
15,2015,56.8465,52.8926,,,,126000.0,140.0,472222.0,,200.0,,53.0,5.5,48.4375,73500.0,28.0,17.0,,0.0,,75.0,12.0,11.0,91.667,1.0,11.0,92.0,0.58
16,2016,56.0166,51.2397,,,,128000.0,130.0,416667.0,,100.0,,,6.0,48.4375,71100.0,28.0,18.0,,0.0,,75.0,13.0,11.0,84.615,1.0,12.0,93.0,0.52
17,2017,56.0166,51.2397,,,,125000.0,130.0,416667.0,,200.0,,,1.0,48.4375,69600.0,28.0,20.0,,0.0,,75.0,11.0,10.0,90.909,1.0,11.0,98.0,0.51
18,2018,56.0166,51.2397,,,,127000.0,120.0,416667.0,,200.0,,,1.0,48.4375,71000.0,29.0,20.0,,0.0,,75.0,10.0,9.0,90.0,1.0,9.0,99.0,0.62
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
