,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,8900.0,,,,,,51.7857,11.0,10.0,90.909,3.0,6.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,9400.0,,,,,,51.7857,11.0,10.0,90.909,3.0,8.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,9300.0,,,,,,51.7857,11.0,10.0,90.909,3.0,6.0,75.0,
10,2010,17.7686,,,,,,,,,,,,,24.5614,9700.0,,29.5,,,,51.7857,11.0,10.0,90.91,3.0,6.0,75.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,11800.0,,,,,,51.7857,11.0,10.0,90.91,3.0,7.0,75.0,
12,2012,16.5289,,,,,,,,,,,,,19.2982,11900.0,,,,,,51.7857,11.0,10.0,90.91,3.0,6.0,75.0,
13,2013,16.5289,,,,,,,,,,,,,19.2982,11800.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
14,2014,20.2479,6.9767,,,,,,,,,,,,19.2982,11600.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
15,2015,19.8347,6.9767,,,,,,,,,,,,14.0351,11400.0,,,,,,55.3571,10.0,9.0,90.0,1.0,9.0,75.0,
16,2016,21.0744,9.3023,,,,,,,,,,,,14.0351,15700.0,,,,,,55.3571,11.0,9.0,81.818,1.0,6.0,75.0,
17,2017,21.9008,9.3023,,,,,,,,,,,,17.5439,16100.0,,,,,,55.3571,9.0,9.0,100.0,1.0,7.0,75.0,
18,2018,22.7273,10.8527,,,,,,,,,,,,17.5439,16400.0,,,,,,55.3571,12.0,12.0,100.0,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
