,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,23.5537,18.6047,,,,443.0,,1460.0,2775.0,5.5,,,,3.5088,55200.0,,,,,,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
6,2006,46.281,43.4109,,,,408.0,,1330.0,2685.0,3.0,25.0,,,38.5965,58000.0,31.8,,,,12.5,60.7143,11.0,9.0,81.818,1.0,8.0,75.0,
7,2007,45.8678,41.8605,,,,391.0,,1260.0,2746.0,3.0,24.0,,,38.5965,58000.0,32.3,,,,12.0,62.5,10.0,8.0,80.0,1.0,11.0,75.0,
8,2008,43.8017,44.9612,,,,400.0,,1290.0,2342.0,2.7,22.7,,,33.3333,57100.0,32.9,,,,13.509,51.7857,10.0,8.0,80.0,1.0,8.0,75.0,
9,2009,,,,,,357.0,,1227.97,2189.0,2.6,21.6,,,,53600.0,31.8,,,,12.978,,10.0,8.0,80.0,1.0,11.0,75.0,
10,2010,47.1074,48.8372,,,,336.0,,1192.51,2030.0,2.5,59.5,,0.0,33.3333,136500.0,49.7,,,,13.51,57.1429,10.0,9.0,90.0,1.0,7.0,75.0,
11,2011,45.4545,52.7132,,,,405.0,0.035,1125.39,1725.0,0.8,63.8,2.0,0.0,22.807,139650.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
12,2012,42.9752,50.3876,,,,377.0,0.037,1087.13,1427.0,0.7,94.2,1.0,0.0,17.5439,147600.0,,,,,,51.7857,10.0,9.0,90.0,1.0,8.0,75.0,
13,2013,45.4545,50.3876,,,,247.0,0.036,1071.71,1433.0,0.51,46.51,2.0,0.0,22.807,143100.0,,,,,,57.1429,10.0,9.0,90.0,1.0,6.0,75.0,
14,2014,46.6942,50.3876,,,,232.0,0.036,1015.3,1444.0,0.54,44.54,2.0,0.006,22.807,147500.0,,,,,,62.5,8.0,7.0,87.5,1.0,7.0,75.0,0.616
15,2015,49.1736,50.3876,,,,261.071,0.037,954.613,1265.0,0.55,47.65,4.0,0.0,33.3333,143600.0,51.0,28.0,,,,62.5,8.0,7.0,87.5,1.0,8.0,75.0,0.691
16,2016,53.719,56.5891,,,,233.0,0.035,869.157,1161.0,0.61,39.61,0.0,0.0,33.3333,37600.0,32.0,31.0,,,,67.8571,9.0,8.0,88.889,1.0,20.0,75.0,0.807
17,2017,55.3719,55.0388,,,,154.661,0.031,690.756,1090.1,0.51,26.51,0.0,0.0,43.8596,35300.0,32.0,32.0,,0.0,4.0,67.8571,10.0,9.0,90.0,1.0,12.0,75.0,0.708
18,2018,55.3719,55.0388,,,,151.876,0.034,671.783,1126.0,0.45,36.25,2.0,0.007,43.8596,32400.0,31.1,30.3,,0.0,1.9,67.8571,9.0,8.0,88.889,1.0,29.0,75.0,0.041
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
