,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,35.5372,24.8062,,,,97.236,,207.02,439.0,,9.589,,0.001,38.5965,12500.0,,,,,3.7,57.1429,9.0,7.0,77.778,3.0,2.0,75.0,
12,2012,38.0165,27.1318,,,,71.717,,195.265,399.0,,6.519,,0.0,43.8596,12700.0,,,,,2.5,57.1429,10.0,8.0,80.0,3.0,5.0,75.0,
13,2013,47.9339,48.062,,,,80.83,,412.555,437.9,0.809,53.688,,0.0,33.3333,12500.0,,,,,,62.5,10.0,9.0,90.0,3.0,7.0,75.0,
14,2014,49.5868,51.1628,,,,82.033,,432.078,410.2,0.823,61.372,1.0,0.0,33.3333,12500.0,,,,,,62.5,11.0,10.0,90.909,3.0,7.0,75.0,0.0
15,2015,53.3058,55.814,,,,77.744,,294.866,426.6,0.945,33.897,1.0,0.001,38.5965,12700.0,23.0,,,,,62.5,10.0,9.0,90.0,1.0,7.0,98.0,
16,2016,52.4793,51.938,,,,74.998,,281.057,384.9,1.395,31.957,0.0,0.0,43.8596,16000.0,25.3,24.0,,,,62.5,10.0,9.0,90.0,1.0,11.0,98.0,
17,2017,56.1983,58.9147,,,,90.583,,345.508,430.2,1.2650000000000001,27.448,0.0,0.0,43.8596,16200.0,25.0,24.0,,,,62.5,10.0,9.0,90.0,1.0,10.0,96.0,
18,2018,58.2645,61.2403,,,,102.227,,362.059,492.5,1.446,30.06,0.0,0.0,43.8596,17000.0,24.0,24.0,,,,66.0714,10.0,9.0,90.0,1.0,6.0,96.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
